gene,fcQuantiles
Nkain3,-1.66
Asb13,-1.66
Nrxn3,-1.65
Vip,-1.65
Vmn1r226,-1.65
Speer2,-1.65
Lmcd1,-1.65
Pamr1,-1.65
Klhl13,-1.65
Pcdh18,-1.65
A2ld1,-1.64
Gm9966,-1.64
Cenpc1,-1.64
Snx5,-1.64
Zfyve9,-1.64
Tmem90b,-1.64
Rnf144b,-1.64
Bcl2,-1.64
Ephb1,-1.64
Hdac2,-1.63
Gm10192,-1.63
Pth2r,-1.63
Thsd4,-1.63
Armc6,-1.63
Ets1,-1.63
App,-1.63
4930423O20Rik,-1.63
Fkbp6,-1.63
Vmn2r120,-1.63
Olfr18,-1.63
Gm5848,-1.63
G6pd2,-1.63
Prom1,-1.63
Pcdh18,-1.63
Soat1,-1.63
B9d2,-1.63
Nkain3,-1.62
Gm8730,-1.62
Cdh9,-1.62
Tas1r2,-1.62
Agbl1,-1.62
Rims1,-1.62
D630036H23Rik,-1.62
1700018B24Rik,-1.62
Bdnf,-1.62
Bcl9,-1.62
Sclt1,-1.62
Gm9898,-1.62
Ptprm,-1.62
Impg2,-1.62
Lypd6b,-1.61
Macrod2,-1.61
AI317395,-1.61
Lrrc47,-1.61
Manea,-1.61
Lrrtm4,-1.6
Luzp2,-1.6
Ier3,-1.6
Scn2a1,-1.6
Pip5k1b,-1.6
Wls,-1.6
Hax1,-1.59
2210407C18Rik,-1.59
Ntrk3,-1.59
Celf2,-1.59
Spag16,-1.59
Tal2,-1.59
Elac2,-1.59
Eya1,-1.59
Rnf44,-1.59
Gbe1,-1.59
1700047G07Rik,-1.59
Gm1968,-1.59
Zfp770,-1.59
Gm17570,-1.59
Fkbp1a,-1.59
Gm5506,-1.59
Dlk1,-1.59
1600027N09Rik,-1.58
Gm2058,-1.58
6330527O06Rik,-1.58
Sema6a,-1.58
Rspo3,-1.58
Megf11,-1.58
Tmeff2,-1.58
Nt5c1b,-1.58
Fam38a,-1.58
Adcyap1,-1.58
Odz2,-1.58
Camk4,-1.58
C230029F24Rik,-1.58
Gm5507,-1.58
Amd2,-1.57
Grm6,-1.57
Kctd16,-1.57
Lphn3,-1.57
Plce1,-1.57
Pcca,-1.57
Cyp4f15,-1.57
Amd2,-1.57
Fmn1,-1.57
Mad2l1,-1.57
Frmd5,-1.57
Pde6h,-1.57
Lyzl4,-1.57
Prpf4b,-1.56
Adcyap1r1,-1.56
Kdm6b,-1.56
Rap1gds1,-1.56
Nat1,-1.56
Satb2,-1.56
Zwint,-1.56
Rims2,-1.56
Diap2,-1.56
Greb1l,-1.56
Gm17618,-1.56
Cib2,-1.56
1110067D22Rik,-1.56
Gm5965,-1.56
Spred2,-1.56
F830104G03Rik,-1.56
Zfp36l2,-1.56
Ercc3,-1.55
Foxq1,-1.55
Efnb2,-1.55
Olfr328,-1.55
Park2,-1.55
Maf,-1.55
Stk25,-1.55
Yipf6,-1.55
Hs3st5,-1.55
Arsj,-1.55
Ptprd,-1.55
Fggy,-1.55
Mt4,-1.55
Mrpl37,-1.55
Cited2,-1.54
Gm6741,-1.54
3100002H09Rik,-1.54
Sorbs2,-1.54
Odz3,-1.54
Olfr224,-1.54
Grin2a,-1.54
Gm8181,-1.54
Fras1,-1.54
Prkch,-1.54
Glis3,-1.54
Sdk1,-1.54
Tmem55a,-1.54
Rgmb,-1.54
Lcp2,-1.54
Grin2b,-1.53
Eef2k,-1.53
Mcts1,-1.53
Rps6kc1,-1.53
Slc8a1,-1.53
B930007M17Rik,-1.53
Svip,-1.53
Kif26b,-1.53
Dhx40,-1.53
Ankrd50,-1.53
3110043O21Rik,-1.53
Chd1,-1.53
Chrm2,-1.53
Slc28a3,-1.53
Jam3,-1.53
Arhgap21,-1.53
Rapgef4,-1.53
Hoxb1,-1.53
Odz3,-1.52
Dmd,-1.52
Klf4,-1.52
Ncald,-1.52
Slco1c1,-1.52
C1galt1,-1.52
Cntnap5b,-1.52
Gm16223,-1.52
Dscam,-1.51
Gapvd1,-1.51
Mapkapk2,-1.51
Fbxl7,-1.51
Pi15,-1.51
Asb9,-1.51
Adamts17,-1.51
Kirrel3,-1.51
Ppm1h,-1.51
Tbx3,-1.51
Setbp1,-1.51
Ifngr1,-1.51
Gramd3,-1.51
Ndst4,-1.51
Drd1a,-1.51
Gm5407,-1.5
Ext1,-1.5
4930529M08Rik,-1.5
Lrrtm3,-1.5
Sft2d2,-1.5
Gabrg3,-1.5
Plekha1,-1.5
Cetn3,-1.5
Ccl20,-1.5
Amy2a5,-1.5
Tsn,-1.5
Hand2,-1.5
Hrh4,-1.5
Shisa6,-1.5
Gm9966,-1.5
Rgma,-1.5
Ghitm,-1.49
Cdkn3,-1.49
Fgfr1,-1.49
Mfap1b,-1.49
Ambp,-1.49
Anxa10,-1.49
Lsamp,-1.49
Gm6133,-1.49
Epha5,-1.49
Ptpre,-1.49
Coro1b,-1.49
C030019I05Rik,-1.49
Tusc1,-1.49
Ngf,-1.49
Fbxl4,-1.49
Npy,-1.49
Fibin,-1.49
Prkar1b,-1.49
Med27,-1.48
Zfp608,-1.48
Slc39a10,-1.48
Mrpl39,-1.48
Vcl,-1.48
Olfr1163,-1.48
Ldlrad3,-1.48
Gp49a,-1.48
Tmtc1,-1.48
Pde10a,-1.48
Adamts5,-1.48
Rpl10l,-1.48
Hccs,-1.48
Cdh7,-1.48
Kcnq3,-1.48
Adamts1,-1.48
Tmem2,-1.48
D130062J21Rik,-1.48
Gm10828,-1.48
Ddx58,-1.48
Bicd1,-1.48
Nsg2,-1.47
Uspl1,-1.47
Spata6,-1.47
Gm4951,-1.47
A930017M01Rik,-1.47
Sulf1,-1.47
Gm17492,-1.47
Sap130,-1.47
Rundc3a,-1.47
Fam49b,-1.47
Pcdh15,-1.47
Fzd8,-1.47
Lphn3,-1.47
Maf,-1.47
Hrh1,-1.47
Fam19a2,-1.47
Ces2b,-1.47
Pde1b,-1.47
Dhx35,-1.46
Lsm5,-1.46
Tmem135,-1.46
Cdk5rap2,-1.46
Scg2,-1.46
Gm9797,-1.46
D19Bwg1357e,-1.46
Ofcc1,-1.46
Csn2,-1.46
Speer2,-1.46
Pik3c3,-1.46
Sidt1,-1.46
Olfr960,-1.46
Vdac2,-1.46
Arhgap20,-1.46
Ptpru,-1.46
Pgrmc2,-1.46
Glra3,-1.46
Slc6a12,-1.46
1700019A02Rik,-1.45
Tbc1d7,-1.45
Mamdc2,-1.45
Gria1,-1.45
Gm17649,-1.45
Olfr530,-1.45
Fars2,-1.45
Alg10b,-1.45
Emx2,-1.45
Gm6996,-1.45
Zfp618,-1.45
Scgn,-1.45
Agap3,-1.45
Tbl1x,-1.45
Zpld1,-1.45
Inadl,-1.45
Hccs,-1.45
Ppp1r12a,-1.45
Gm6133,-1.45
9430070O13Rik,-1.45
St3gal3,-1.45
Car10,-1.45
1110003E01Rik,-1.45
Pou3f2,-1.45
Sftpd,-1.45
Efha2,-1.45
Rps6ka2,-1.45
Zfp608,-1.44
Wdr91,-1.44
Gm9797,-1.44
Fam135b,-1.44
Rims1,-1.44
Gm6576,-1.44
Unc5d,-1.44
Pou3f1,-1.44
Cdh10,-1.44
Sema3e,-1.44
Cdc73,-1.44
Ppp1r3c,-1.44
Gm11016,-1.44
Efna5,-1.44
Tmprss15,-1.44
Cps1,-1.44
Ets1,-1.44
Prdm10,-1.44
1700018B24Rik,-1.44
Sh3bp4,-1.44
Lipc,-1.44
Epha6,-1.44
Mbnl1,-1.44
Bcas3,-1.44
Rnf180,-1.44
Utp18,-1.44
Gm5528,-1.44
Bcar1,-1.44
Mob4,-1.44
Gm17312,-1.43
Wdr47,-1.43
Slc2a9,-1.43
Rad23b,-1.43
Sorbs2,-1.43
Irx1,-1.43
Gm16478,-1.43
Stk4,-1.43
Rdh10,-1.43
Gm9966,-1.43
Arid2,-1.43
Rerg,-1.43
Ccl9,-1.43
Wnt5a,-1.43
Kdm2b,-1.43
Dusp4,-1.43
4933409G03Rik,-1.42
Gm13271,-1.42
Khdrbs3,-1.42
Lrp1b,-1.42
Mpdz,-1.42
Zdhhc14,-1.42
Megf10,-1.42
Clvs1,-1.42
Grm3,-1.42
Hsd17b3,-1.42
Epha3,-1.42
Chst1,-1.42
Sntn,-1.42
Xylt1,-1.42
Nrxn3,-1.42
Ccdc18,-1.42
Barx2,-1.42
Cntnap5a,-1.42
Gnao1,-1.42
Fam49a,-1.42
4930546C10Rik,-1.42
Ets1,-1.42
Olfr127,-1.42
Fgf13,-1.42
Npy,-1.42
Mcc,-1.42
Efna5,-1.42
Rpf1,-1.42
F13a1,-1.42
Fez1,-1.42
Cadm1,-1.41
Sumf1,-1.41
Kcna4,-1.41
D19Bwg1357e,-1.41
Kcnma1,-1.41
Csmd3,-1.41
D830039M14Rik,-1.41
Lamb1,-1.41
Rdh10,-1.41
Fam190a,-1.41
Gli3,-1.41
Frmpd4,-1.41
Sort1,-1.41
Rtn1,-1.41
Crisp1,-1.41
Kcnj1,-1.41
Gm2058,-1.41
Atg7,-1.41
Olfr616,-1.41
Aldh7a1,-1.4
Pid1,-1.4
Cntn5,-1.4
Psmd7,-1.4
Pdgfd,-1.4
Tspan2,-1.4
Cxcl13,-1.4
Rps3a,-1.4
Vrk2,-1.4
Tmeff2,-1.4
Ctbp2,-1.4
Gm9733,-1.4
Parm1,-1.4
Ninl,-1.4
Rad23b,-1.4
Bcl2,-1.4
Fbxw26,-1.4
Gucy1a2,-1.4
Psapl1,-1.4
Edem1,-1.4
2610018G03Rik,-1.4
Pon1,-1.4
Efnb2,-1.4
Rpl13a-ps1,-1.4
Sntg1,-1.4
Olfr1402,-1.4
Khdrbs3,-1.4
Rhod,-1.4
Ccl1,-1.39
Park2,-1.39
Atp10a,-1.39
Enc1,-1.39
1110021L09Rik,-1.39
Slc8a1,-1.39
Wls,-1.39
Ofcc1,-1.39
Naa30,-1.39
Heph,-1.39
1110032A04Rik,-1.39
9430031J16Rik,-1.39
Ppp3ca,-1.39
Ins1,-1.39
Grin3a,-1.39
Gm9008,-1.39
Tox3,-1.39
Col4a2,-1.39
Gm7854,-1.39
Frmpd4,-1.39
Ctbp2,-1.39
Hs3st2,-1.39
Cps1,-1.39
Pcdh18,-1.39
Wbscr17,-1.39
St8sia3,-1.39
2410004P03Rik,-1.39
Kank1,-1.39
Olfr1028,-1.39
Itpr1,-1.39
Cd36,-1.39
Chrna7,-1.39
Cacnb2,-1.39
Hdac4,-1.39
Cdkn2aipnl,-1.39
Spock2,-1.39
Sorbs2,-1.38
Gm17359,-1.38
Mbnl1,-1.38
Txndc16,-1.38
Tnf,-1.38
Cadm1,-1.38
Cyyr1,-1.38
Map3k7,-1.38
Ces5a,-1.38
Zfp536,-1.38
Efnb2,-1.38
Ankrd61,-1.38
Mtap2,-1.38
Nppc,-1.38
Gm10188,-1.38
Dmrtb1,-1.38
Bmp7,-1.38
Slc2a12,-1.38
Fam38b,-1.38
Mtmr2,-1.38
Snx29,-1.38
Atxn7l3b,-1.38
Cda,-1.38
Tiam2,-1.38
Fshr,-1.38
Olfm3,-1.38
Top2b,-1.38
Gnb1l,-1.38
Pitx2,-1.38
4931408C20Rik,-1.38
Nnmt,-1.38
1810012P15Rik,-1.38
Cadm2,-1.37
AI504432,-1.37
Cntn5,-1.37
Edn1,-1.37
Rbms1,-1.37
A530053G22Rik,-1.37
Nxph1,-1.37
Enpp2,-1.37
4922501C03Rik,-1.37
Smgc,-1.37
Igfbpl1,-1.37
Casp1,-1.37
Rims4,-1.37
Cntnap4,-1.37
Atp6v1g3,-1.37
Csmd1,-1.37
Best3,-1.37
Tek,-1.37
Dab1,-1.37
Srp14,-1.37
Cpn2,-1.37
Pou3f2,-1.37
Hdac8,-1.37
Jam3,-1.37
Plxna2,-1.37
Gm9966,-1.37
Rbbp8,-1.37
Cdh8,-1.37
Eya1,-1.37
Gm11492,-1.37
Cdc7,-1.37
Tle3,-1.37
Slc10a4,-1.37
Prss8,-1.37
Defb18,-1.36
Eif2b3,-1.36
3110009E18Rik,-1.36
Rufy3,-1.36
Ddx18,-1.36
Tmem229a,-1.36
Fam92a,-1.36
Wwox,-1.36
Svep1,-1.36
Dydc2,-1.36
Mina,-1.36
Etaa1,-1.36
Tpm1,-1.36
Gm4987,-1.36
A2ld1,-1.36
4930548G14Rik,-1.36
Pon2,-1.36
Setbp1,-1.36
Zkscan6,-1.36
Pawr,-1.36
Zc3h12d,-1.36
Pth2r,-1.36
Olfr959,-1.36
Grhl2,-1.36
Eltd1,-1.36
Foxc2,-1.36
Gm15319,-1.36
Cep170,-1.36
5330438I03Rik,-1.36
Cntnap5b,-1.35
Col8a1,-1.35
1700112E06Rik,-1.35
Olfm3,-1.35
Rac2,-1.35
Penk,-1.35
Nell1,-1.35
Mex3c,-1.35
Ins1,-1.35
Kcnmb1,-1.35
Emp1,-1.35
Kcnn3,-1.35
Nxt1,-1.35
Sh2d4b,-1.35
Sec61b,-1.35
Dtna,-1.35
Thsd4,-1.35
Jazf1,-1.35
Adh6a,-1.35
Ccdc50,-1.35
Wbscr17,-1.35
Acvr1,-1.35
Camk1g,-1.35
Gm5258,-1.35
Gm9930,-1.35
1300010F03Rik,-1.35
Vav3,-1.35
9130404H23Rik,-1.35
Nr3c2,-1.35
Kcnj5,-1.35
Ccin,-1.35
Gcsh,-1.35
Rnf20,-1.35
Vwc2l,-1.34
Abca13,-1.34
Zfp609,-1.34
Herc1,-1.34
Fam135b,-1.34
Gm10295,-1.34
Mcph1,-1.34
Erbb4,-1.34
Dync1i2,-1.34
Pclo,-1.34
Ext1,-1.34
BC030500,-1.34
Incenp,-1.34
Sntg1,-1.34
Efnb2,-1.34
Amigo2,-1.34
Atf6,-1.34
2610017I09Rik,-1.34
Cryl1,-1.34
Gm7263,-1.34
Runx1t1,-1.34
Celf2,-1.34
Cdh18,-1.34
Trim29,-1.34
4922505E12Rik,-1.34
Phactr3,-1.34
Atic,-1.34
Ipcef1,-1.34
Tmcc3,-1.34
1600014C10Rik,-1.34
Hormad2,-1.34
Radil,-1.34
Khdrbs3,-1.34
Ptprm,-1.34
4922505E12Rik,-1.34
Uty,-1.34
Il7,-1.33
Lrrtm4,-1.33
Nr2e3,-1.33
Tnc,-1.33
Gm815,-1.33
Cntnap5b,-1.33
Cetn1,-1.33
Mtss1,-1.33
Gm7665,-1.33
Gm16140,-1.33
Hivep1,-1.33
Nalcn,-1.33
Tbx3,-1.33
Perp,-1.33
Sema5a,-1.33
Shroom2,-1.33
Cxcr4,-1.33
Rai14,-1.33
Fam57b,-1.33
1110017F19Rik,-1.33
Accn1,-1.32
Zcchc13,-1.32
Tcf12,-1.32
Tnfrsf19,-1.32
Pdha1,-1.32
Gata3,-1.32
Dlgap1,-1.32
Fam38b,-1.32
A730017C20Rik,-1.32
Tmtc4,-1.32
Il1rapl1,-1.32
Reg3g,-1.32
Nebl,-1.32
Abcd3,-1.32
Ghitm,-1.32
Tasp1,-1.32
1110003E01Rik,-1.32
B3galnt2,-1.32
Slc15a4,-1.32
Fign,-1.32
Mecom,-1.32
Ptprr,-1.32
Arhgap6,-1.32
Anks1b,-1.32
Tpra1,-1.32
Sphkap,-1.32
Olfr16,-1.32
Rpl31,-1.32
Rchy1,-1.31
Tmem161b,-1.31
Car10,-1.31
Ankrd50,-1.31
Nrcam,-1.31
Grik2,-1.31
Gm17731,-1.31
Mat2b,-1.31
A330008L17Rik,-1.31
8430410K20Rik,-1.31
Wdr20b,-1.31
Npffr1,-1.31
Gm9733,-1.31
Pawr,-1.31
Gm17394,-1.31
4930444P10Rik,-1.31
Hhat,-1.31
Tmem53,-1.31
Efhc2,-1.31
Rusc2,-1.31
1700018B24Rik,-1.31
Tox,-1.31
Gm11099,-1.31
Mkln1,-1.31
Rad21,-1.31
9630041A04Rik,-1.31
Phxr4,-1.31
Vwc2,-1.31
Traf3ip1,-1.31
Heca,-1.31
Klraq1,-1.3
Fbxl17,-1.3
Ndp,-1.3
Exoc4,-1.3
Cntn6,-1.3
Gm10650,-1.3
Gpr6,-1.3
Dnahc5,-1.3
Gabra2,-1.3
3110082D06Rik,-1.3
Kcnh8,-1.3
Gbe1,-1.3
Txnrd1,-1.3
Zic4,-1.3
Kirrel3,-1.3
Kcnh7,-1.3
Msx2,-1.3
Slc6a1,-1.3
Negr1,-1.3
Arglu1,-1.3
Akap9,-1.3
Gm8439,-1.3
Zfp608,-1.3
Gpld1,-1.3
Tnfrsf11b,-1.3
Ube2e2,-1.3
Acvr2a,-1.3
Rdh10,-1.3
Ddb2,-1.3
Palm2,-1.3
Zmat4,-1.3
Hdac2,-1.3
1110058L19Rik,-1.3
Ntf3,-1.3
2610019F03Rik,-1.3
Prickle2,-1.3
Sox6,-1.3
Gcc1,-1.3
Csrnp3,-1.3
Phkb,-1.3
Asxl3,-1.3
Ccdc90b,-1.3
Chrm2,-1.3
Actrt1,-1.3
Bmpr1b,-1.3
Pla2r1,-1.3
Ccrl1,-1.29
Cyyr1,-1.29
Otx2,-1.29
1700072E05Rik,-1.29
Kcnj16,-1.29
Fam50b,-1.29
Edn2,-1.29
Gdi2,-1.29
Pgap1,-1.29
Pgrmc2,-1.29
Nsmaf,-1.29
Ccng2,-1.29
Lypd1,-1.29
Fbxl4,-1.29
Ssh1,-1.29
Gyg,-1.29
Slc39a11,-1.29
Srgap2,-1.29
Dhx32,-1.29
1700112E06Rik,-1.29
Hsf2,-1.29
Kcna5,-1.29
Rasl11b,-1.29
Speer3,-1.29
Npr3,-1.29
Rrp15,-1.29
Pter,-1.29
Utp18,-1.29
Hdc,-1.29
Cdh10,-1.29
Celf2,-1.29
Blnk,-1.29
Syt13,-1.29
Slc39a10,-1.29
Olfr1324,-1.29
Far2,-1.29
Ube2e3,-1.29
AI481877,-1.29
Fat3,-1.29
1700011F03Rik,-1.29
Ranbp3l,-1.29
Ambp,-1.28
Hnf4g,-1.28
Gm16140,-1.28
Tmem28,-1.28
Lrrn2,-1.28
Cacna2d1,-1.28
Rasgrf2,-1.28
Sash1,-1.28
Was,-1.28
Gm10530,-1.28
Rps13-ps1,-1.28
5730522E02Rik,-1.28
Cntnap3,-1.28
Camk2d,-1.28
Zfp609,-1.28
Adamts20,-1.28
Olfr435,-1.28
Cltc,-1.28
Myo10,-1.28
Pou1f1,-1.28
Adamts9,-1.28
4933427D14Rik,-1.28
Agap1,-1.28
Grm8,-1.28
Serinc3,-1.28
2610528E23Rik,-1.28
Serinc1,-1.28
Gypa,-1.28
Gpr141,-1.28
Fbxw7,-1.28
Impad1,-1.28
Gm11353,-1.28
Gm9966,-1.27
Olfr1370,-1.27
Egflam,-1.27
Zfand5,-1.27
Cdh26,-1.27
Fam110b,-1.27
Vmn2r96,-1.27
Sacs,-1.27
Gli3,-1.27
Ect2,-1.27
Akirin2,-1.27
Cdyl,-1.27
Dhrs7c,-1.27
Arhgef3,-1.27
Ccdc42,-1.27
Snx19,-1.27
Pnpt1,-1.27
Bod1,-1.27
Tmem106b,-1.27
Gm9930,-1.27
Asb5,-1.27
Chrm2,-1.27
Dab2,-1.27
Gm5879,-1.27
Arhgef3,-1.27
Kazn,-1.27
Myc,-1.27
Gm10247,-1.27
Irx3,-1.27
9530077C05Rik,-1.27
Spock1,-1.27
Oc90,-1.27
Sort1,-1.27
Sall3,-1.27
Bmp8b,-1.27
Cep170,-1.26
Cyp7a1,-1.26
Gm11678,-1.26
Lrba,-1.26
Rgnef,-1.26
Gm15155,-1.26
Gm9839,-1.26
Trmt11,-1.26
Tmem132c,-1.26
4931417E11Rik,-1.26
Lrriq1,-1.26
Dsel,-1.26
Pot1a,-1.26
Lhfpl2,-1.26
Cd55,-1.26
Atl2,-1.26
Dtwd2,-1.26
Dtx4,-1.26
Gm6816,-1.26
Mid1,-1.26
4922502B01Rik,-1.26
Obfc2a,-1.26
Tmem45a,-1.26
Plxna4,-1.26
Ecd,-1.26
Timp3,-1.26
L3mbtl3,-1.26
Rps6kc1,-1.26
D430041D05Rik,-1.26
Als2cr12,-1.26
Plekhm3,-1.26
Pvrl1,-1.26
Hace1,-1.26
Mkrn1,-1.26
Rgs12,-1.26
Pcca,-1.26
Tmcc1,-1.25
Nrp2,-1.25
Gm4066,-1.25
Zfp804a,-1.25
Cblb,-1.25
Dhrs9,-1.25
Csmd3,-1.25
AW209491,-1.25
Lrrk1,-1.25
Serbp1,-1.25
Pcdh18,-1.25
Lrrc49,-1.25
Psat1,-1.25
Vmn2r99,-1.25
Kcnip4,-1.25
Dlgap1,-1.25
Srd5a1,-1.25
Cep152,-1.25
Golph3,-1.25
Fam101b,-1.25
Dnaja2,-1.25
Gm8910,-1.25
Gdap1l1,-1.25
Tctex1d1,-1.25
Ppargc1a,-1.25
Otx2,-1.25
Kcnma1,-1.25
Kcns2,-1.25
Gm5506,-1.25
Lypd6b,-1.25
1700001L05Rik,-1.25
Gatsl2,-1.25
Mgat4c,-1.25
Pgr15l,-1.25
Adamts9,-1.25
App,-1.25
Zpld1,-1.25
Dennd1a,-1.25
Gucy2g,-1.25
Vmn2r88,-1.25
Bcl7c,-1.25
Cldn22,-1.25
Nrxn3,-1.24
Ntng1,-1.24
Gm5528,-1.24
Scmh1,-1.24
Cntln,-1.24
Cep70,-1.24
Clec3a,-1.24
Ptpn14,-1.24
Cul1,-1.24
Kcnc1,-1.24
Lce3a,-1.24
Rbfox1,-1.24
Pde11a,-1.24
Fbxl20,-1.24
Elmo1,-1.24
Agbl1,-1.24
Rev1,-1.24
Ibtk,-1.24
Dhx35,-1.24
Tas2r134,-1.24
Gm14862,-1.24
Galntl6,-1.24
Trim32,-1.24
Fbxl14,-1.24
Lypd6b,-1.24
Gabrg2,-1.24
Sall2,-1.24
Gm17507,-1.24
Zdhhc9,-1.24
Foxc1,-1.24
Skap1,-1.24
Plxna2,-1.24
Pstpip1,-1.24
Onecut1,-1.24
Slc6a11,-1.24
Myh14,-1.24
Cd36,-1.24
Socs5,-1.24
Shroom4,-1.24
Fhad1,-1.24
Epha6,-1.24
Gm8910,-1.23
Trim42,-1.23
Grm3,-1.23
Gm8223,-1.23
Sorbs1,-1.23
Gm4392,-1.23
Gm17474,-1.23
Lrguk,-1.23
Fam86,-1.23
Lpin1,-1.23
A330070K13Rik,-1.23
Thsd7a,-1.23
Rapgef4,-1.23
Nsun2,-1.23
Il1rapl1,-1.23
Psen2,-1.23
Cpeb2,-1.23
Mettl7a1,-1.23
Amd2,-1.23
Sv2c,-1.23
Csmd1,-1.23
Fam84b,-1.23
Chmp4b,-1.23
Kcnma1,-1.23
Sorcs1,-1.23
Vstm2a,-1.23
Tfdp2,-1.23
Rad23b,-1.23
Smgc,-1.23
4930584F24Rik,-1.23
Rbm11,-1.23
Dab1,-1.23
1700015F17Rik,-1.23
Amot,-1.23
Twsg1,-1.23
Rbms1,-1.23
Fam86,-1.23
Ripk2,-1.23
Mtnr1b,-1.23
Scnn1b,-1.23
Herc2,-1.23
Zwint,-1.23
6720489N17Rik,-1.23
Olfr1337,-1.23
Unc5d,-1.23
Akr1cl,-1.23
