gene,fcRaw
Pi15,-1.24
Asb9,-1.37
Adamts17,-1.38
Kirrel3,-1.63
Ppm1h,-1.56
Tbx3,-1.63
Setbp1,-1.69
Ifngr1,-1.69
Gramd3,-1.57
Ndst4,-1.86
Drd1a,-2.16
Gm5407,-1.11
Ext1,-1.11
4930529M08Rik,-1.08
Lrrtm3,-1.11
Sft2d2,-1.11
Gabrg3,-1.35
Plekha1,-1.2
Cetn3,-1.3
Ccl20,-1.35
Amy2a5,-1.32
Tsn,-1.49
Hand2,-1.41
Hrh4,-1.47
Shisa6,-1.51
Gm9966,-1.74
Rgma,-1.71
Ghitm,-1.11
Cdkn3,-1.1
Fgfr1,-1.09
Mfap1b,-1.11
Ambp,-1.26
Anxa10,-1.36
Lsamp,-1.36
Gm6133,-1.36
Epha5,-1.39
Ptpre,-1.45
Coro1b,-1.41
C030019I05Rik,-1.4
Tusc1,-1.47
Ngf,-1.42
Fbxl4,-1.44
Npy,-1.55
Fibin,-2
Prkar1b,-1.64
Med27,-1.13
Zfp608,-1.07
Slc39a10,-1.1
Mrpl39,-1.16
Vcl,-1.1
Olfr1163,-1.12
Ldlrad3,-1.17
Gp49a,-1.21
Tmtc1,-1.22
Pde10a,-1.33
Adamts5,-1.25
Rpl10l,-1.43
Hccs,-1.54
Cdh7,-1.46
Kcnq3,-1.62
Adamts1,-1.6
Tmem2,-1.75
D130062J21Rik,-1.52
Gm10828,-1.92
Ddx58,-1.66
Bicd1,-1.37
Nsg2,-1.05
Uspl1,-1.05
Spata6,-1.16
Gm4951,-1.2
A930017M01Rik,-1.21
Sulf1,-1.19
Gm17492,-1.3
Sap130,-1.44
Rundc3a,-1.34
Fam49b,-1.29
Pcdh15,-1.39
Fzd8,-1.4
Lphn3,-1.54
Maf,-1.71
Hrh1,-1.69
Fam19a2,-1.97
Ces2b,-1.96
Pde1b,-1.57
Dhx35,-1.14
Lsm5,-1.15
Tmem135,-1.19
Cdk5rap2,-1.26
Scg2,-1.42
Gm9797,-1.43
D19Bwg1357e,-1.39
Ofcc1,-1.42
Csn2,-1.46
Speer2,-1.56
Pik3c3,-1.61
Sidt1,-1.55
Olfr960,-1.68
Vdac2,-1.59
Arhgap20,-1.61
Ptpru,-1.36
Pgrmc2,-1.36
Glra3,-1.86
Slc6a12,-1.65
1700019A02Rik,-1.13
Tbc1d7,-1.05
Mamdc2,-1.04
Gria1,-1.06
Gm17649,-1.08
Olfr530,-1.11
Fars2,-1.21
Alg10b,-1.16
Emx2,-1.14
Gm6996,-1.28
Zfp618,-1.17
Scgn,-1.23
Agap3,-1.06
Tbl1x,-1.32
Zpld1,-1.25
Inadl,-1.4
Hccs,-1.38
Ppp1r12a,-1.4
Gm6133,-1.36
9430070O13Rik,-1.5
St3gal3,-1.21
Car10,-1.5
1110003E01Rik,-1.5
Pou3f2,-1.75
Sftpd,-1.51
Efha2,-1.88
Rps6ka2,-1.65
Zfp608,-1.02
Wdr91,-0.99
Gm9797,-1.16
Fam135b,-1.18
Rims1,-1.51
Gm6576,-1.2
Unc5d,-1.23
Pou3f1,-1.06
Cdh10,-1.26
Sema3e,-1.28
Cdc73,-1.39
Ppp1r3c,-1.29
Gm11016,-1.43
Efna5,-1.39
Tmprss15,-1.46
Cps1,-1.54
Ets1,-1.62
Prdm10,-1.52
1700018B24Rik,-1.57
Sh3bp4,-1.48
Lipc,-1.45
Epha6,-1.62
Mbnl1,-1.75
Bcas3,-1.34
Rnf180,-1.65
Utp18,-2.11
Gm5528,-1.87
Bcar1,-1.45
Mob4,-1.77
Gm17312,-0.99
Wdr47,-1.04
Slc2a9,-1.04
Rad23b,-1.04
Sorbs2,-1.14
Irx1,-1.13
Gm16478,-1.18
Stk4,-1.15
Rdh10,-1.2
Gm9966,-1.29
Arid2,-1.25
Rerg,-1.33
Ccl9,-1.51
Wnt5a,-1.56
Kdm2b,-1.35
Dusp4,-1.81
4933409G03Rik,-1.04
Gm13271,-1.07
Khdrbs3,-1.06
Lrp1b,-1.09
Mpdz,-1.13
Zdhhc14,-1.07
Megf10,-1.1
Clvs1,-1.09
Grm3,-1.18
Hsd17b3,-1.32
Epha3,-1.17
Chst1,-1.12
Sntn,-1.23
Xylt1,-1.32
Nrxn3,-1.14
Ccdc18,-1.28
Barx2,-1.33
Cntnap5a,-1.42
Gnao1,-1.27
Fam49a,-1.4
4930546C10Rik,-1.51
Ets1,-1.47
Olfr127,-1.49
Fgf13,-1.52
Npy,-1.48
Mcc,-1.55
Efna5,-1.72
Rpf1,-1.49
F13a1,-2.01
Fez1,-2.09
Cadm1,-1.02
Sumf1,-1.02
Kcna4,-1.07
D19Bwg1357e,-1.09
Kcnma1,-1.15
Csmd3,-1.24
D830039M14Rik,-1.07
Lamb1,-1.2
Rdh10,-1.36
Fam190a,-1.37
Gli3,-1.43
Frmpd4,-1.39
Sort1,-1.29
Rtn1,-1.52
Crisp1,-1.79
Kcnj1,-1.56
Gm2058,-1.52
Atg7,-1.84
Olfr616,-1.91
Aldh7a1,-0.98
Pid1,-0.99
Cntn5,-1.01
Psmd7,-1.1
Pdgfd,-1.08
Tspan2,-1.06
Cxcl13,-1.17
Rps3a,-1.13
Vrk2,-1.17
Tmeff2,-1.18
Ctbp2,-1.15
Gm9733,-1.22
Parm1,-1.25
Ninl,-1.19
Rad23b,-1.33
Bcl2,-1.32
Fbxw26,-1.48
Gucy1a2,-1.24
Psapl1,-1.37
Edem1,-1.51
2610018G03Rik,-1.55
Pon1,-1.61
Efnb2,-1.56
Rpl13a-ps1,-1.7
Sntg1,-1.61
Olfr1402,-1.43
Khdrbs3,-1.78
Rhod,-1.68
Ccl1,-1.01
Park2,-1.07
Atp10a,-0.97
Enc1,-0.95
1110021L09Rik,-0.98
Slc8a1,-1.03
Wls,-1.02
Ofcc1,-1.04
Naa30,-1.11
Heph,-1.14
1110032A04Rik,-1.31
9430031J16Rik,-1.09
Ppp3ca,-1.21
Ins1,-1.21
Grin3a,-1.24
Gm9008,-1.39
Tox3,-1.3
Col4a2,-1.22
Gm7854,-1.42
Frmpd4,-1.34
Ctbp2,-1.36
Hs3st2,-1.28
Cps1,-1.44
Pcdh18,-1.55
Wbscr17,-1.47
St8sia3,-1.57
2410004P03Rik,-1.7
Kank1,-1.87
Olfr1028,-1.79
Itpr1,-1.39
Cd36,-1.76
Chrna7,-1.98
Cacnb2,-2.24
Hdac4,-2.24
Cdkn2aipnl,-1.65
Spock2,-1.58
Sorbs2,-0.98
Gm17359,-0.98
Mbnl1,-0.99
Txndc16,-1.02
Tnf,-0.99
Cadm1,-1.03
Cyyr1,-1.09
Map3k7,-1.19
Ces5a,-1.14
Zfp536,-1.09
Efnb2,-1.09
Ankrd61,-1.21
Mtap2,-1.2
Nppc,-1.34
Gm10188,-1.09
Dmrtb1,-1.13
Bmp7,-1.12
Slc2a12,-1.41
Fam38b,-1.56
Mtmr2,-1.35
Snx29,-1.35
Atxn7l3b,-1.37
Cda,-1.21
Tiam2,-1.53
Fshr,-1.49
Olfm3,-1.42
Top2b,-1.51
Gnb1l,-1.48
Pitx2,-1.75
4931408C20Rik,-1.95
Nnmt,-1.61
1810012P15Rik,-2.02
Cadm2,-1.01
AI504432,-0.96
Cntn5,-1.01
Edn1,-0.99
Rbms1,-0.94
A530053G22Rik,-0.99
Nxph1,-1.03
Enpp2,-1.04
4922501C03Rik,-1.07
Smgc,-1.28
Igfbpl1,-1.03
Casp1,-1.2
Rims4,-1.12
Cntnap4,-1.16
Atp6v1g3,-1.14
Csmd1,-1.11
Best3,-1.12
Tek,-1.18
Dab1,-1.21
Srp14,-1.16
Cpn2,-1.17
Pou3f2,-1.25
Hdac8,-1.56
Jam3,-1.2
Plxna2,-1.31
Gm9966,-1.35
Rbbp8,-1.27
Cdh8,-1.35
Eya1,-1.4
Gm11492,-1.48
Cdc7,-1.7
Tle3,-1.41
Slc10a4,-1.42
Prss8,-1.57
Defb18,-0.94
Eif2b3,-0.97
3110009E18Rik,-1
Rufy3,-1.07
Ddx18,-1.12
Tmem229a,-1.15
Fam92a,-1.11
Wwox,-1.12
Svep1,-1.15
Dydc2,-1.19
Mina,-1.23
Etaa1,-1.19
Tpm1,-1.04
Gm4987,-1.23
A2ld1,-0.99
4930548G14Rik,-1.26
Pon2,-1.17
Setbp1,-1.3
Zkscan6,-1.21
Pawr,-1.32
Zc3h12d,-1.29
Pth2r,-1.4
Olfr959,-1.38
Grhl2,-1.53
Eltd1,-1.69
Foxc2,-1.82
Gm15319,-1.63
Cep170,-2
5330438I03Rik,-1.58
Cntnap5b,-0.96
Col8a1,-0.95
1700112E06Rik,-0.93
Olfm3,-0.96
Rac2,-0.95
Penk,-1.01
Nell1,-0.98
Mex3c,-1.08
Ins1,-1.07
Kcnmb1,-1.16
Emp1,-1.2
Kcnn3,-1.1
Nxt1,-1.22
Sh2d4b,-1.18
Sec61b,-1.23
Dtna,-1.23
Thsd4,-1.3
Jazf1,-1.28
Adh6a,-1.4
Ccdc50,-1.36
Wbscr17,-1.42
Acvr1,-1.68
Camk1g,-1.37
Gm5258,-1.2
Gm9930,-1.57
1300010F03Rik,-1.29
Vav3,-1.63
9130404H23Rik,-1.68
Nr3c2,-1.86
Kcnj5,-1.36
Ccin,-1.84
Gcsh,-1.58
Rnf20,-3.71
Vwc2l,-0.93
Abca13,-0.95
Zfp609,-0.96
Herc1,-0.93
Fam135b,-1
Gm10295,-0.98
Mcph1,-0.96
Erbb4,-0.97
Dync1i2,-1.06
Pclo,-1.05
Ext1,-1.25
BC030500,-1.18
Incenp,-1.23
Sntg1,-1.17
Efnb2,-1.15
Amigo2,-1.14
Atf6,-1.17
2610017I09Rik,-1.21
Cryl1,-1.25
Gm7263,-1.34
Runx1t1,-1.35
Celf2,-1.42
Cdh18,-1.39
Trim29,-1.32
4922505E12Rik,-1.26
Phactr3,-1.36
Atic,-1.15
Ipcef1,-1.57
Tmcc3,-1.43
1600014C10Rik,-1.27
Hormad2,-1.85
Radil,-1.27
Khdrbs3,-2.27
Ptprm,-1.69
4922505E12Rik,-1.5
Uty,-2.61
Il7,-0.99
Lrrtm4,-0.95
Nr2e3,-1.01
Tnc,-1.08
Gm815,-1.11
Cntnap5b,-1.15
Cetn1,-1.18
Mtss1,-1.05
Gm7665,-1.2
Gm16140,-1.25
Hivep1,-1.29
Nalcn,-1.25
Tbx3,-1.32
Perp,-1.33
Sema5a,-1.37
Shroom2,-1.35
Cxcr4,-1.32
Rai14,-1.53
Fam57b,-2.26
1110017F19Rik,-1.47
Accn1,-0.83
Zcchc13,-0.9
Tcf12,-0.91
Tnfrsf19,-1.11
Pdha1,-1.03
Gata3,-1.14
Dlgap1,-1.15
Fam38b,-1.16
A730017C20Rik,-1.21
Tmtc4,-1.18
Il1rapl1,-1.21
Reg3g,-1.26
Nebl,-1.29
Abcd3,-1.27
Ghitm,-1.34
Tasp1,-1.39
1110003E01Rik,-1.3
B3galnt2,-1.3
Slc15a4,-1.48
Fign,-1.31
Mecom,-1.47
Ptprr,-1.43
Arhgap6,-1.49
Anks1b,-2.25
Tpra1,-1.25
Sphkap,-1.74
Olfr16,-2.14
Rpl31,-1.74
Rchy1,-0.89
Tmem161b,-0.94
Car10,-0.91
Ankrd50,-0.92
Nrcam,-1
Grik2,-1.01
Gm17731,-1.02
Mat2b,-1.27
A330008L17Rik,-1.12
8430410K20Rik,-1.21
Wdr20b,-1.21
Npffr1,-1.11
Gm9733,-1.6
Pawr,-1.24
Gm17394,-1.22
4930444P10Rik,-1.32
Hhat,-1.37
Tmem53,-1.21
Efhc2,-1.43
Rusc2,-1.51
1700018B24Rik,-1.51
Tox,-1.7
Gm11099,-1.53
Mkln1,-1.37
Rad21,-1.71
9630041A04Rik,-1.71
Phxr4,-1.64
Vwc2,-1.86
Traf3ip1,-1.37
Heca,-1.56
Klraq1,-0.89
Fbxl17,-0.92
Ndp,-0.96
Exoc4,-0.91
Cntn6,-0.93
Gm10650,-1.02
Gpr6,-1.03
Dnahc5,-0.93
Gabra2,-1.01
3110082D06Rik,-1
Kcnh8,-1.07
Gbe1,-1.02
Txnrd1,-1.01
Zic4,-1.1
Kirrel3,-1.06
Kcnh7,-1.09
Msx2,-1.21
Slc6a1,-1.11
Negr1,-1.15
Arglu1,-1.2
Akap9,-1.27
Gm8439,-1.05
Zfp608,-1.22
Gpld1,-1.03
Tnfrsf11b,-1.27
Ube2e2,-1.5
Acvr2a,-1.32
Rdh10,-1.16
Ddb2,-1.57
Palm2,-1.4
Zmat4,-1.29
Hdac2,-1.55
1110058L19Rik,-1.6
Ntf3,-1.66
2610019F03Rik,-1.27
Prickle2,-1.54
Sox6,-1.47
Gcc1,-1.37
Csrnp3,-1.51
Phkb,-1.65
Asxl3,-1.57
Ccdc90b,-1.96
Chrm2,-1.96
Actrt1,-1.88
Bmpr1b,-1.31
Pla2r1,-2.24
Ccrl1,-0.88
Cyyr1,-0.91
Otx2,-0.91
1700072E05Rik,-0.95
Kcnj16,-0.94
Fam50b,-0.9
Edn2,-0.93
Gdi2,-1.02
Pgap1,-1.01
Pgrmc2,-0.99
Nsmaf,-1.01
Ccng2,-1.07
Lypd1,-1.06
Fbxl4,-1.15
Ssh1,-1.09
Gyg,-1.01
Slc39a11,-1.11
Srgap2,-1.21
Dhx32,-1.13
1700112E06Rik,-1.22
Hsf2,-0.96
Kcna5,-1.15
Rasl11b,-1.25
Speer3,-1.33
Npr3,-1.43
Rrp15,-1.43
Pter,-1.4
Utp18,-1.3
Hdc,-1.43
Cdh10,-1.76
Celf2,-1.74
Blnk,-1.82
Syt13,-1.43
Slc39a10,-1.58
Olfr1324,-1.62
Far2,-1.82
Ube2e3,-1.88
AI481877,-1.53
Fat3,-1.77
1700011F03Rik,-1.49
Ranbp3l,-1.56
Ambp,-0.93
Hnf4g,-0.89
Gm16140,-0.9
Tmem28,-0.9
Lrrn2,-0.86
Cacna2d1,-0.9
Rasgrf2,-0.96
Sash1,-0.99
Was,-0.94
Gm10530,-0.95
Rps13-ps1,-1.01
5730522E02Rik,-0.96
Cntnap3,-1.07
Camk2d,-1.06
Zfp609,-1.07
Adamts20,-1.07
Olfr435,-1.1
Cltc,-1.11
Myo10,-1.18
Pou1f1,-1.17
Adamts9,-1.22
4933427D14Rik,-1.28
Agap1,-1.21
Grm8,-1.24
Serinc3,-1.22
2610528E23Rik,-1.4
Serinc1,-1.42
Gypa,-1.28
Gpr141,-1.45
Fbxw7,-1.67
Impad1,-1.7
Gm11353,-1.67
Gm9966,-0.84
Olfr1370,-0.89
Egflam,-0.89
Zfand5,-0.9
Cdh26,-0.9
Fam110b,-0.97
Vmn2r96,-0.94
Sacs,-0.95
Gli3,-0.96
Ect2,-1.03
Akirin2,-0.98
Cdyl,-0.96
Dhrs7c,-1.12
Arhgef3,-1.01
Ccdc42,-1.03
Snx19,-1.07
Pnpt1,-1.18
Bod1,-1.12
Tmem106b,-1.18
Gm9930,-1.18
Asb5,-1.21
Chrm2,-1.36
Dab2,-1.24
Gm5879,-1.3
Arhgef3,-1.2
Kazn,-1.31
Myc,-1.66
Gm10247,-1.55
Irx3,-1.28
9530077C05Rik,-1.63
Spock1,-1.45
Oc90,-1.4
Sort1,-1.63
Sall3,-1.6
Bmp8b,-1.57
Cep170,-0.9
Cyp7a1,-0.82
Gm11678,-0.81
Lrba,-0.83
Rgnef,-0.89
Gm15155,-0.97
Gm9839,-0.99
Trmt11,-1.05
Tmem132c,-1.04
4931417E11Rik,-1.07
Lrriq1,-1.08
Dsel,-1.11
Pot1a,-1.09
Lhfpl2,-0.98
Cd55,-1.08
Atl2,-1.15
Dtwd2,-1.14
Dtx4,-1.08
Gm6816,-1.27
Mid1,-0.92
4922502B01Rik,-1.39
Obfc2a,-1.29
Tmem45a,-1.26
Plxna4,-1.35
Ecd,-1.02
Timp3,-1.23
L3mbtl3,-1.05
Rps6kc1,-1.51
D430041D05Rik,-1.38
Als2cr12,-1.49
Plekhm3,-1.4
Pvrl1,-1.45
Hace1,-2.04
Mkrn1,-1.16
Rgs12,-1.47
Pcca,-2.04
Tmcc1,-0.84
Nrp2,-0.82
Gm4066,-0.84
Zfp804a,-0.86
Cblb,-0.84
Dhrs9,-0.83
Csmd3,-0.87
AW209491,-0.96
Lrrk1,-0.91
Serbp1,-0.88
Pcdh18,-0.98
Lrrc49,-0.97
Psat1,-1
Vmn2r99,-1
Kcnip4,-1.09
Dlgap1,-1.12
Srd5a1,-1.12
Cep152,-1.12
Golph3,-1.4
Fam101b,-1.1
Dnaja2,-1.19
Gm8910,-1.25
Gdap1l1,-1.04
Tctex1d1,-1.05
Ppargc1a,-1.31
Otx2,-1.3
Kcnma1,-1.28
Kcns2,-1.42
Gm5506,-1.43
Lypd6b,-1.53
1700001L05Rik,-1.3
Gatsl2,-1.43
Mgat4c,-1.43
Pgr15l,-1.6
Adamts9,-1.6
App,-1.58
Zpld1,-2
Dennd1a,-1.71
Gucy2g,-1.38
Vmn2r88,-1.34
Bcl7c,-1.71
Cldn22,-1.4
Nrxn3,-0.84
Ntng1,-0.89
Gm5528,-0.86
Scmh1,-0.82
Cntln,-0.9
Cep70,-0.87
Clec3a,-0.95
Ptpn14,-0.89
Cul1,-0.95
Kcnc1,-0.94
Lce3a,-0.98
Rbfox1,-0.97
Pde11a,-1.02
Fbxl20,-0.96
Elmo1,-1.05
Agbl1,-1.22
Rev1,-0.94
Ibtk,-1.1
Dhx35,-1.02
Tas2r134,-1.13
Gm14862,-1.17
Galntl6,-1.19
Trim32,-1.2
Fbxl14,-1.09
Lypd6b,-1.29
Gabrg2,-1.11
Sall2,-1.18
Gm17507,-1.02
Zdhhc9,-1.29
Foxc1,-1.41
Skap1,-1.24
Plxna2,-1.59
Pstpip1,-1.36
Onecut1,-1.63
Slc6a11,-1.39
Myh14,-1.29
Cd36,-1.83
Socs5,-1.24
Shroom4,-2.02
Fhad1,-1.37
Epha6,-2.43
Gm8910,-0.85
Trim42,-0.8
Grm3,-0.86
Gm8223,-0.87
Sorbs1,-0.86
Gm4392,-0.92
Gm17474,-0.94
Lrguk,-0.95
Fam86,-0.95
Lpin1,-1
A330070K13Rik,-0.96
Thsd7a,-1.04
Rapgef4,-0.93
Nsun2,-1.18
Il1rapl1,-1.02
Psen2,-1.08
Cpeb2,-1.08
Mettl7a1,-1.18
Amd2,-1.14
Sv2c,-1.11
Csmd1,-1.77
Fam84b,-1.12
Chmp4b,-1.1
Kcnma1,-1.12
Sorcs1,-1.49
Vstm2a,-1.13
Tfdp2,-1.23
Rad23b,-1.19
Smgc,-1.11
4930584F24Rik,-1.15
Rbm11,-1.21
Dab1,-1.22
1700015F17Rik,-1.25
Amot,-1.3
Twsg1,-1.23
Rbms1,-1.28
Fam86,-1.31
Ripk2,-1.3
Mtnr1b,-1.33
Scnn1b,-1.21
Herc2,-1.39
Zwint,-1.34
6720489N17Rik,-1.45
Olfr1337,-1.21
Unc5d,-1.57
Akr1cl,-1.44
Suclg2,-1.54
Commd9,-1.52
Pbk,-1.51
