gene,logFC(Z6/E14Tg2a),logFC(OKO160/E14Tg2a),logFC(Z6/OctGip),logFC(OKO160/OctGip)
AL670446.1,-0.0395,0.0191,-0.063,-0.0043
SNORA77,-0.1439,0.0225,-0.1922,-0.0258
mmu-mir-682,-0.046,-0.0537,-0.0074,-0.0151
AC122313.1,0.0773,0.0576,0.1206,0.101
SNORA70,-0.0306,-0.137,0.0515,-0.055
AC154846.1,-0.0095,0.0066,0.0263,0.0425
SNORD60,-0.3652,-0.0573,-0.2478,0.0601
snR78,-0.1589,-0.1173,0.0163,0.0579
mmu-mir-7a-1,-0.064,-0.0466,-0.012,0.0054
AC119211.1,-0.046,-0.0537,-0.0074,-0.0151
snoU97,-0.2902,-0.2785,-0.135,-0.1233
SNORA2,-0.3395,-0.2169,-0.405,-0.2824
AC148988.2,0.0707,0.0399,0.0622,0.0314
SNORA8,-0.0173,-0.2788,0.2969,0.0353
SNORA81,0.2971,0.0597,0.3076,0.0702
SNORA19,0.0235,0.087,-0.0276,0.0359
SNORD31,0.0556,0.0279,0.0328,0.0051
AL935150.6,0.0268,0.0615,0.0386,0.0733
AC136746.1,-0.0033,0.0219,-0.0054,0.0198
AC147987.3,-0.0525,0.069,-0.0784,0.0431
AL670236.4,-0.003,0.0571,-0.0192,0.0409
AC123795.1,-0.018,0.0047,0.0113,0.0341
AC107744.1,-0.0156,0.0429,-0.0438,0.0146
AC152824.1,0.0388,0.0498,0.0464,0.0573
AC151715.1,-0.053,-0.045,0.0179,0.0259
AC164538.1,-0.013,-0.0376,0.0752,0.0506
AC151841.1,0.0377,0.0221,0.0445,0.029
AC140398.1,0.033,0.0202,0.0219,0.0092
AC122863.3,0.0694,0.0416,0.051,0.0232
AC124444.1,0.5619,0.0451,0.3392,-0.1775
AC103388.1,0.0097,0.0022,0.0245,0.017
AC127694.1,-0.0342,-0.1131,0.0088,-0.0702
AC111120.1,0.0114,0.0172,0.0096,0.0154
AC119880.1,-0.0403,-0.0519,0.0189,0.0073
AC130210.2,-0.0338,0.0088,0.0062,0.0487
AC114988.1,-0.0402,-0.0062,0.0151,0.0491
AC127355.1,-0.0456,-8.35E-05,-0.0644,-0.0189
AC158296.1,-0.0202,-0.0811,-0.0355,-0.0964
AC148977.1,0.01,-0.0173,0.0483,0.0211
AC155806.2,0.044,0.0523,-0.0123,-0.0041
AC162692.1,0.0544,0.0437,0.0459,0.0352
AC131980.1,0.0859,0.0848,0.0136,0.0125
AC157563.3,0.3123,0.528,0.2634,0.4792
AC120180.1,0.0239,0.024,-0.0176,-0.0175
AC114655.1,0.0052,-0.0041,0.0204,0.0111
AC124550.1,0.0152,0.019,-0.0021,0.0017
AC164373.1,0.0341,0.052,0.0184,0.0362
AC166829.1,-0.1526,-0.0204,-0.1166,0.0155
AC101777.1,0.0331,0.0726,0.0339,0.0735
AC127433.1,-0.0012,0.0079,0.0179,0.027
AC157362.1,-0.0013,-0.0039,-0.0046,-0.0072
AC158928.1,-0.0512,-0.0113,-0.0255,0.0144
AC142191.1,0.0222,0.0278,-0.0217,-0.0161
AC164612.2,0.0182,0.0714,-0.0465,0.0067
CT025531.2,-0.0492,-0.018,0.0052,0.0364
AC155722.1,0.0022,0.0047,-0.0178,-0.0154
AC122015.1,-0.0048,-0.0674,-0.0049,-0.0675
AC153872.3,-0.0174,0.0154,-0.006,0.0267
AC158662.1,-0.0285,-0.0461,-0.0172,-0.0348
CAAA01037531.1.36077.2,-0.0388,-0.0012,-0.0464,-0.0089
AC163294.1,0.0126,0.0131,0.028,0.0286
AC129024.1,-0.0097,-0.0114,0.0134,0.0117
AC159313.3,0.1604,0.304,0.1072,0.2509
AC161812.1,0.0014,0.0151,0.0818,0.0954
AC113320.1,-0.0278,-0.0128,-0.0219,-0.0068
AC111135.1,-0.013,-0.0067,-0.023,-0.0167
AC161198.5,-0.0321,0.0095,0.0018,0.0433
AC109202.1,-0.0901,-0.0201,-0.0789,-0.0089
AC137558.1,0.0604,0.0465,0.0448,0.0309
AC137513.1,0.0315,0.0172,0.0118,-0.0025
AC119237.1,0.0274,0.0287,0.023,0.0243
AC118255.1,0.0627,0.0147,0.0349,-0.0132
AC122525.1,-0.0062,0.01,0.0018,0.018
AC164565.1,-0.0623,-0.1722,0.1036,-0.0064
AC127285.1,0.0226,0.0342,-0.0055,0.0061
AC138765.1,0.0563,-0.0477,-0.0014,-0.1054
AC122190.1,0.0356,0.0336,0.0876,0.0856
AC127580.1,-0.0123,0.0197,0.0066,0.0387
AC105173.1,-0.0599,-0.0361,-0.0132,0.0106
AC122013.1,0.2304,0.0849,0.0244,-0.1211
AC115820.1,-0.024,-0.0841,0.0119,-0.0483
AC140326.1,-0.0504,-0.0015,0.011,0.0598
AC159318.2,-0.0185,-0.0407,0.0262,0.004
AC163287.2,-0.0508,-0.0573,-0.4614,-0.4678
AC170806.2,-0.1194,-0.1012,-0.0755,-0.0573
AC110564.1,-0.0106,0.0619,0.0053,0.0777
CT009765.1,-0.0107,-0.0171,-0.0296,-0.036
AC110382.1,0.0139,0.0138,-1.14E-04,-2.66213320688102E-4
AC115727.1,-0.0058,0.0371,0.0174,0.0603
AC142228.1,-0.0058,-0.0245,0.0231,0.0044
AC127334.1,-0.0405,-0.0051,0.0149,0.0502
AC102860.1,0.0522,0.0267,0.0106,-0.0148
AC105966.1,0.0602,0.0333,0.0699,0.043
AC140312.2,0.0582,0.0697,-0.0078,0.0037
AC122487.1,0.0401,0.0402,-0.0085,-0.0084
CT485788.1,-0.0142,-0.0131,0.0262,0.0273
AC087117.1,-0.1589,-0.1173,0.0163,0.0579
AC159277.1,-0.0075,0.0224,-0.0711,-0.0413
AC122821.1,0.0521,0.0346,0.0223,0.0048
AC154507.1,0.0065,-0.1024,-3.37E-04,-0.1092
AC167222.2,-0.0301,-0.0338,-0.0485,-0.0522
AC167222.1,0.066,0.0814,-0.0555,-0.0401
AC153506.1,0.0156,0.0897,-3.30E-04,0.0738
AC124585.1,0.0231,0.0212,0.0046,0.0027
AC130216.1,-0.0458,-0.0055,-0.0161,0.0242
AC125276.1,-0.2733,-0.5894,-0.2129,-0.529
AC129018.1,0.0218,-0.0111,-0.029,-0.0619
AC162384.1,0.023,0.01,-0.0114,-0.0244
AC154824.1,0.0151,-0.0335,0.0143,-0.0343
AC098733.1,-0.0166,0.003,0.0113,0.031
AC134869.2,0.1192,0.0905,0.0133,-0.0154
AC112962.1,-0.0128,0.054,0.0158,0.0826
AC117612.1,0.0153,0.0422,-0.0443,-0.0175
AC133159.1,0.014,0.0477,0.0294,0.0632
AC133496.1,0.0149,0.0188,0.0291,0.033
AC123834.2,-0.0518,-0.0542,0.0119,0.0095
AC134826.1,-0.0783,-0.0569,0.0016,0.0229
AC122861.4,0.055,0.0438,0.0565,0.0453
AC164315.1,0.0317,0.108,-0.0128,0.0635
AC112142.1,0.034,0.0345,0.029,0.0295
AC114585.1,0.0093,0.0366,-0.0323,-0.005
AC134575.2,0.0485,0.0941,-0.026,0.0197
AC154627.1,-0.0117,0.0481,-0.0313,0.0286
AC163280.1,-0.041,-0.035,-0.0075,-0.0015
AC121599.2,0.0069,0.0526,-0.0206,0.0251
AC133967.1,-0.0258,-0.0394,-0.0039,-0.0175
AC130214.1,0.0238,-0.005,0.0136,-0.0153
AC123977.1,-0.0181,0.0107,0.0096,0.0384
AC108434.1,0.1095,0.1578,0.0058,0.0541
AC161167.1,0.0416,-0.0159,-0.0098,-0.0673
AC130654.2,0.1272,0.1236,-0.0012,-0.0048
Mgmt,-0.0707,0.1743,-0.2577,-0.0127
Spata22,-0.0469,-0.0896,-0.0258,-0.0685
Mki67,-0.0682,-0.0688,-0.0682,-0.0689
Rpa2,-0.1836,0.0768,-0.1214,0.139
Tank,-0.0905,-0.0762,-0.0667,-0.0524
Aspa,-0.0046,0.017,-0.0521,-0.0305
Xkr8,0.0357,0.05,0.0432,0.0576
Trpv3,0.005,-0.0058,-0.0243,-0.0351
Mcm7,0.0115,0.1679,0.0412,0.1975
Ptpre,0.037,0.0282,-0.0038,-0.0127
Clrn3,-0.0074,0.0468,0.0102,0.0644
Rbms1,-0.0178,-0.2414,0.1735,-0.0502
Foxi2,-0.0601,-0.0312,-0.0057,0.0232
4930544L04Rik,0.0323,-0.0258,0.0197,-0.0384
Trpv1,-0.0302,-0.0497,-0.032,-0.0515
Cops6,0.2851,0.0262,0.1626,-0.0963
Shpk,-0.0263,-0.0043,-0.0495,-0.0276
Zfp113,-0.055,-0.0973,-0.0312,-0.0736
Eya3,0.053,0.0413,0.0096,-0.002
Ctns,0.0114,0.1096,-0.0559,0.0423
Ptafr,-0.0561,-0.0406,0.0281,0.0436
Itgb6,-0.0193,-0.0164,-0.011,-0.0082
Zscan21,-0.1303,-0.0419,0.0065,0.0949
Dock1,-0.0031,0.1195,0.0865,0.2091
Tax1bp3,-0.1476,-0.6551,0.0165,-0.491
D7Ertd443e,-0.0305,-0.0309,-0.0131,-0.0135
Tmem93,-0.0025,0.0282,-0.0701,-0.0394
A130023I24Rik,-0.0144,0.0271,0.0024,0.0439
Zkscan1,0.0274,-0.0187,0.0648,0.0187
Pla2r1,0.0191,4.96E-04,0.0077,-0.0109
Unc13d,0.0964,0.0394,0.0499,-0.0071
Adam12,-0.0378,0.038,-0.043,0.0328
Unk,-0.1768,-0.1316,0.0132,0.0584
Dnajc8,-0.164,-0.3672,0.0591,-0.1441
Atrn,-0.0371,-0.0579,0.0679,0.0472
H3f3b,-0.0474,0.1774,0.1125,0.3373
P2rx5,0.1974,0.0735,0.1459,0.022
Galk1,0.3777,-0.0967,0.2635,-0.2109
Gsg2,-0.043,-0.1863,0.1302,-0.0131
Fank1,0.0023,-0.0395,0.0072,-0.0345
Atpif1,0.1019,0.1643,-0.0205,0.0419
Azgp1,0.0073,0.0327,-0.0807,-0.0553
4930402H24Rik,0.0468,-0.0431,0.1389,0.049
Sesn2,-0.2042,-0.3811,-0.2738,-0.4508
Slc4a11,0.0526,0.0497,0.0054,0.0025
Ly75,-0.0167,-0.0118,-0.0178,-0.0129
Itpa,0.0651,-0.0221,0.069,-0.0182
Dhx32,0.2411,0.205,0.3424,0.3062
Med18,-0.1804,-0.1432,-0.0705,-0.0334
Cd302,0.0111,0.0481,-0.0709,-0.0338
Cyp3a13,0.0097,0.07,-0.0087,0.0516
Bccip,-0.1159,-0.145,0.1032,0.0741
Itgb4,0.2585,0.3709,0.2659,0.3783
Itgae,0.481,0.3141,0.3389,0.172
Pilrb1,0.0109,0.0269,0.0313,0.0473
Mar-07,-0.1616,-0.1814,0.0014,-0.0183
Ddrgk1,0.2692,0.1594,0.2935,0.1836
1200014J11Rik,0.1377,0.0943,-0.0286,-0.072
Sap30bp,0.0181,-0.0241,0.0192,-0.023
1110017F19Rik,0.0904,-0.0042,0.0523,-0.0423
Prosapip1,-0.0744,0.1155,-0.0455,0.1444
Uros,0.1944,0.197,0.1991,0.2017
Fastkd5,-0.3997,-0.2817,-0.3817,-0.2638
2210020M01Rik,-0.0284,0.0529,-0.0492,0.0321
Ubox5,0.0535,0.1618,-0.0412,0.0671
Avp,0.0128,-0.0313,0.0049,-0.0393
Phactr4,0.1754,0.1448,0.1627,0.1321
Oxt,0.0481,0.0633,0.0698,0.085
Pilra,0.0361,0.0163,0.0552,0.0354
Recql5,0.0432,-0.0542,-0.0751,-0.1725
AC171404.1,-0.2743,-0.1569,-0.2801,-0.1626
Mmp21,0.0143,-0.0357,-0.0189,-0.0689
Mrps26,0.1904,0.1514,0.3276,0.2887
4930473A02Rik,-0.0096,0.0105,0.0465,0.0666
Zcwpw1,0.3261,0.5479,0.2713,0.4931
Ptpra,-0.0707,-0.16,0.0243,-0.0649
Camkk1,-0.0061,-0.0093,-0.071,-0.0742
Hp1bp3,-0.0021,0.0995,-0.0214,0.0801
Mepce,5.57E-04,0.1267,-0.0189,0.1072
2010007H12Rik,-0.2139,-0.1202,-0.1523,-0.0585
AC147614.1,0.0296,-0.0921,0.0861,-0.0356
Myo15b,0.0461,-0.0591,0.0951,-0.01
2700050L05Rik,-0.1575,-0.3492,-0.0745,-0.2662
Hoxd4,-0.0524,-0.0506,-0.0458,-0.0441
1700109F18Rik,0.0688,0.0243,0.0456,0.0011
AC137969.2,0.0532,0.0737,-0.0344,-0.0139
4930404H21Rik,-0.0316,-0.0654,0.0275,-0.0063
Llgl2,0.552,0.4393,0.7696,0.657
P2rx1,0.0062,0.0177,-0.0167,-0.0052
Supt6h,0.0887,-0.0155,-0.0814,-0.1856
Proca1,0.0052,0.0437,-0.0319,0.0067
Vps16,-0.1884,-0.1921,0.1028,0.0991
Baz2b,0.0344,0.0523,-0.0212,-0.0033
Fam113a,-0.0655,-0.0717,-0.0413,-0.0475
Polr3k,-0.155,-0.0721,-0.1891,-0.1061
Flt1,-0.1899,-0.2373,-0.199,-0.2464
4933425O20Rik,0.0123,0.037,0.0443,0.069
Pcmtd2,-0.1431,0.0188,-0.1352,0.0267
AC110496.4,0.0186,0.0432,0.0019,0.0266
Tsen54,0.3203,0.1016,0.4264,0.2077
Stom,-0.0975,-0.0576,-0.1114,-0.0715
1700020A23Rik,-0.0317,-0.0494,-0.0162,-0.034
Rcc1,-0.2343,-0.0317,-0.2539,-0.0513
Hoxd3,-0.0798,-0.06,-0.0383,-0.0185
Cpxm1,0.2013,0.3158,0.0713,0.1858
Epha10,0.0186,-0.0034,0.0201,-0.0019
AC171680.1,0.0532,0.0737,-0.0344,-0.0139
Myt1,0.0596,-0.0077,0.0223,-0.045
1700109F18Rik,-0.0505,-0.0525,-0.0312,-0.0332
Mrgprd,-0.0031,-0.0106,-0.0099,-0.0174
Caskin2,0.3407,0.2788,0.2699,0.2081
Pan3,0.0512,0.0441,0.0587,0.0516
Zfp11,-0.0792,-0.0586,-0.1011,-0.0805
Mrgprf,0.0571,-0.0235,8.94E-04,-0.0797
Wrap53,0.3333,0.3068,0.2907,0.2642
AC114657.2,-0.0658,-0.19,0.0483,-0.0759
Syf2,0.1782,0.1122,-0.0567,-0.1226
Hoxd8,-0.0173,0.0012,0.0478,0.0663
Maneal,0.315,0.166,0.2561,0.1071
Ebf4,-0.0318,-0.0561,-0.0448,-0.0691
Hoxd9,-0.0332,-0.0419,0.0108,0.0022
Efnb3,0.0335,-9.55E-04,-0.0155,-0.05
Hoxd10,-0.0305,-0.0584,-0.0375,-0.0655
Lrdd,-0.1261,-0.0872,-0.2672,-0.2282
Idh3b,-0.1319,-0.0739,0.0426,0.1006
Sh2b1,-0.1073,-0.1149,0.0417,0.0341
Ctbp2,-0.2345,-0.174,-0.1743,-0.1138
Flt3,0.0166,0.0613,0.0281,0.0728
Prhoxnb,-0.0697,-0.0819,1.27E-04,-0.0121
Oprl1,-0.0508,-0.0722,-1.62E-04,-0.0216
D4Wsu53e,-0.0742,-0.0158,-0.0407,0.0177
Mmp17,0.29,0.1583,0.1128,-0.0189
2310067B10Rik,0.0022,0.0309,0.03,0.0587
Tmem50a,0.4313,0.0354,0.4799,0.0839
4930526D03Rik,0.015,0.0051,0.0795,0.0696
Tpcn2,-0.0259,-0.0553,0.0485,0.019
Tsc22d4,-9.32E-04,-0.0419,0.0105,-0.0305
Yrdc,-0.0343,0.0761,-0.0955,0.0149
RP23-168M5.3,-0.1016,-0.057,-0.1039,-0.0592
Hoxd11,0.0592,0.0083,0.0873,0.0364
Hoxd12,-0.1061,-0.0535,-0.0634,-0.0107
Prss36,0.0138,0.1289,0.0539,0.169
Zranb1,-0.0414,-0.1249,-0.0486,-0.1322
Cdx2,-0.0601,-0.1423,-0.0683,-0.1505
Rgs19,0.0282,-0.0513,0.0099,-0.0696
Alox15,-9.10E-04,0.0024,-0.0045,-0.0013
6430598A04Rik,-0.0757,-0.0613,0.0193,0.0337
Ccnd1,-0.6601,-0.1215,-0.6513,-0.1127
Nop56,-0.1947,-0.0637,0.0182,0.1492
Gsn,0.0134,-0.0344,0.0098,-0.0379
Ubr3,0.0349,-0.0126,0.0559,0.0083
Hoxd13,0.0163,2.06E-04,0.0368,0.0207
Rhbdd2,-0.0241,-0.0186,-0.0128,-0.0073
Pdx1,0.043,0.0424,-0.016,-0.0166
Tmc2,0.0071,0.0387,-0.0516,-0.02
Gsx1,-0.045,-0.0594,-0.0226,-0.037
Atp2a1,0.0298,0.0236,-0.0104,-0.0166
Oraov1,-0.0311,-0.0316,-0.0297,-0.0301
Rhd,0.0112,-0.0166,0.0185,-0.0093
Snrpb,-0.1379,-0.0583,-0.1011,-0.0215
Tcea2,0.0031,0.1871,-0.1473,0.0367
Yars,0.1536,0.054,0.0333,-0.0663
Sfrs8,-0.007,0.0272,-0.026,0.0082
Wdsub1,-0.0431,-0.162,-0.0122,-0.1311
Ccl24,-0.0813,-0.0244,-0.0361,0.0208
AC158913.1,-0.1083,-0.1533,-0.0746,-0.1196
Sox18,-0.138,-0.1072,-0.1258,-0.095
Vps53,0.1029,0.2202,-0.2008,-0.0834
Prss8,-0.2378,-0.4553,-0.1596,-0.3771
Samd10,-0.108,-0.0095,-0.0555,0.0431
Fam175b,0.1805,0.1164,0.0656,0.0015
Ccl26,-0.0148,-0.0145,-0.0059,-0.0055
Grb2,0.0871,0.1209,0.1026,0.1364
Mettl5,0.158,0.2285,0.1707,0.2412
Alox12e,0.0416,-0.0012,0.0805,0.0377
Dnahc2,0.0429,0.072,0.0078,0.037
Prpf6,0.1338,0.0796,-0.0147,-0.069
Tgm6,-0.017,-0.0489,-0.0398,-0.0716
Fam101b,0.0821,0.0373,0.0553,0.0105
Myst1,0.043,0.1215,-0.0975,-0.0191
Eif4g3,0.0052,0.0953,-0.0475,0.0426
Tgm3,-0.0164,-0.0166,-0.0043,-0.0045
Trnau1ap,0.0362,0.0457,0.083,0.0925
Rab14,0.2675,0.1993,0.0771,0.0088
Stk35,0.0585,0.0412,0.0593,0.0421
Acvr2a,0.0246,0.0087,-0.0139,-0.0298
Rab42,0.0529,0.1018,-0.0151,0.0338
Gpr133,0.0268,0.0854,0.0298,0.0884
Slc25a22,0.0655,0.071,0.0505,0.056
Evx2,0.0505,0.0587,1.86E-04,0.0084
Slc25a19,-0.0255,-0.1115,0.0541,-0.0318
Agfg2,-0.0047,-0.0727,0.0555,-0.0124
Fgf15,-0.5566,-0.609,-0.582,-0.6345
Alox12,0.2227,0.0555,0.1598,-0.0074
RP23-313J15.3,0.5503,0.0713,0.5948,0.1158
1700016K19Rik,0.1526,-0.0419,0.1299,-0.0646
Defb23,-0.0425,-0.0085,-0.0334,5.61550478303197E-4
Polr1d,0.1158,0.162,0.0527,0.0989
Mettl10,0.0573,0.1013,-0.0339,0.0101
Pdyn,-0.132,-0.1514,-0.2287,-0.2481
Mtf1,0.0714,0.1475,0.051,0.1272
Cend1,-0.067,-0.0704,-0.0873,-0.0907
AL691413.3,0.1593,0.5413,0.2594,0.6414
Fgf4,0.1323,0.0389,0.2156,0.1222
Bckdk,-0.3167,-0.4155,-0.319,-0.4178
Taf12,0.1882,0.2505,0.1744,0.2367
Uckl1,0.0514,0.0376,0.0065,-0.0072
Tmem57,-0.1135,0.0922,-0.1391,0.0666
6820408C15Rik,-0.0389,0.0342,-0.0297,0.0434
Fgf3,0.0347,0.0307,0.0238,0.0198
Irs3,0.0083,-0.046,0.0344,-0.0199
Mif4gd,-0.1286,0.081,-0.0225,0.1871
Zcchc3,-0.2177,-0.1801,-0.3439,-0.3063
Sap25,-0.0082,0.047,-0.0011,0.0541
Rabep2,8.71E-04,0.1583,0.1596,0.317
Sox12,-0.29,-0.4475,-0.155,-0.3125
Lnx2,-0.0833,-0.0708,-0.0137,-0.0011
Mrps7,-0.1783,0.148,-0.1345,0.1918
Nrsn2,0.0135,-0.0407,0.005,-0.0492
AC149593.1,0.0374,0.0513,0.0012,0.0151
Gmeb1,-0.0293,0.0665,-0.1102,-0.0144
Kdm6b,0.0422,0.0945,0.0139,0.0662
Mtif3,0.0532,0.133,0.0087,0.0885
Tmem88,-0.0745,0.0039,-0.0139,0.0645
Trib3,0.7984,0.3539,0.7227,0.2783
Fam53b,0.037,0.0854,-0.0787,-0.0303
S100pbp,0.24,0.1224,0.0926,-0.0251
Actb,-0.169,-0.1263,-0.221,-0.1783
Dnajc5,-0.2017,-0.3562,-0.043,-0.1976
Sirpa,0.5197,0.0736,0.4127,-0.0333
Ran,-0.1174,-0.2162,0.0139,-0.085
Cog2,0.0498,0.2018,0.0311,0.1831
Rnasek,0.2021,-0.0453,0.184,-0.0634
Lnp,-0.0348,-0.0168,-0.0103,0.0077
Cd19,-0.0215,-0.0198,-0.0368,-0.0351
F830045P16Rik,0.0188,0.0463,-0.0293,-0.0018
Igfbp7,0.042,0.0204,-0.0134,-0.035
Ldlrap1,-0.0126,0.0691,-0.0082,0.0734
Vkorc1,0.253,0.1778,0.1531,0.0779
Lsmd1,0.1774,0.0712,0.2144,0.1082
Cyb5d1,0.0199,0.0484,-0.0056,0.0229
Pddc1,0.0898,0.058,-0.2146,-0.2464
Pom121,0.1615,-0.0817,0.1753,-0.0679
Nfatc2ip,0.3814,0.4054,0.2584,0.2825
Tanc1,-0.418,-0.2192,-0.286,-0.0872
Tpd52l2,0.154,-0.0985,0.0841,-0.1684
Fndc5,0.0637,0.0591,-0.0109,-0.0155
Gga3,0.0364,-0.0711,-0.125,-0.2325
Ptpn3,-0.0278,0.0324,0.0104,0.0706
Rph3al,-0.0364,0.0593,-0.0915,0.0042
BC039632,0.0341,-0.0029,0.0082,-0.0289
Ythdf2,-0.2838,-0.17,-0.173,-0.0592
Inpp5b,0.0299,0.0693,-0.026,0.0134
Dapl1,0.0391,0.0346,0.0536,0.0492
Rbck1,-0.1356,0.1011,0.0186,0.2553
Rab34,-0.3054,-0.3631,-0.1193,-0.1771
BC050777,-0.0014,-0.0094,-0.0308,-0.0387
Nsun5,-0.045,-0.1064,-0.0207,-0.0822
Ntf3,-0.022,0.0023,0.0125,0.0368
Fbxl18,-0.3271,-0.1668,-0.1729,-0.0126
Il1b,0.0651,0.0025,0.0158,-0.0468
Lrch4,-0.0082,0.047,-0.0011,0.0541
Ptchd3,-0.0072,-0.0051,-0.0246,-0.0225
Prame,0.0135,0.0241,0.0273,0.0379
Zbtb46,0.08,0.0723,-0.0115,-0.0192
Il1a,0.0342,0.0878,-0.0656,-0.0121
Ckap2l,0.2446,0.2771,0.0651,0.0976
Stx2,0.3377,0.136,0.2242,0.0224
Timm17a,-0.0989,-0.3255,-0.0548,-0.2813
A730036I17Rik,3.16E-04,0.0225,-0.0569,-0.0348
Ssb,0.0299,0.0973,-0.0104,0.057
Sf3a3,-0.0394,0.0809,-0.163,-0.0426
Rabggtb,0.1212,0.1982,0.0946,0.1716
Tbc1d20,0.0721,0.1618,0.1196,0.2092
Zeb2,0.0243,0.0675,-8.32E-04,0.0423
Ano1,0.0886,0.0563,0.0948,0.0624
Taldo1,0.164,0.0145,-0.3976,-0.5471
Polr2b,-0.0388,-0.0522,-0.0577,-0.0711
B3gntl1,-0.0194,-0.0279,3.90E-06,-0.0085
Lime1,0.0228,0.2251,-0.0798,0.1225
Nup85,0.0106,-0.1064,-0.0375,-0.1544
Fadd,0.1197,0.1471,0.0777,0.105
Trim50,-0.0427,-0.0162,-0.0414,-0.0148
Spns1,0.2206,0.1185,0.0707,-0.0314
Doc2b,-0.0198,-0.0353,-0.0147,-0.0302
Zfp750,0.3409,0.3081,0.4033,0.3705
Atp2a3,0.0905,0.4981,0.1481,0.5557
Pgbd5,-0.0537,-0.0338,0.0334,0.0533
Klhl23,-0.0667,-0.0495,-0.0319,-0.0148
Atp5g3,0.034,0.0796,0.1173,0.1629
Slc20a1,-0.3031,-0.3802,0.0859,0.0089
Fhl3,-0.035,-0.0786,-0.0249,-0.0684
0610010K14Rik,-0.007,-0.0053,0.0022,0.0039
Ppfia1,-0.047,-0.1617,-0.0617,-0.1763
Aftph,0.0279,-0.1816,0.183,-0.0265
Arfrp1,0.2199,0.1309,0.1755,0.0865
Chchd5,0.033,0.1191,-0.4373,-0.3513
Csnk2a1,-0.0887,0.0257,-0.0637,0.0506
Man1c1,0.0629,0.0503,0.1052,0.0926
Lhpp,-0.0381,-0.1111,-0.146,-0.219
Rimbp2,0.0331,0.0462,0.0408,0.0539
Tcf15,-0.0963,0.3432,-0.1912,0.2482
Slc16a1,-0.025,-0.0074,-0.0116,0.006
Gtf3a,0.2915,0.5462,0.4556,0.7103
Srxn1,-0.227,0.5375,-0.1336,0.6308
Sumo2,-0.1365,-0.1812,-0.0436,-0.0883
Fyco1,-0.0262,-0.0287,-0.0042,-0.0066
Utp11l,0.1818,0.0767,0.0315,-0.0736
Oprd1,-7.77E-04,0.0155,5.44E-04,0.0169
Tnrc18,-0.0338,-0.0542,0.0249,0.0045
Nfya,0.0727,-0.0174,0.0291,-0.061
Hps5,-0.031,-0.0247,-0.021,-0.0147
Lat,0.1209,-0.0104,-0.0207,-0.152
Zfp646,-3.50E-04,0.0158,-0.0479,-0.0318
Nkx1-2,-0.0065,0.005,-0.0276,-0.0161
Snrnp27,-0.0673,-0.015,-0.0309,0.0215
Bicd1,-0.0381,-0.0465,-0.0384,-0.0468
Pou3f1,-0.979,-1.6182,-1.2263,-1.8655
Oat,-0.129,-0.6217,-0.327,-0.8196
Rpl23a,-0.036,-0.2461,0.084,-0.1261
Eps8l2,0.2927,-0.1122,0.1174,-0.2875
Fkbp6,0.4753,0.1889,0.1636,-0.1229
Sbk1,-0.1708,-0.1513,-0.133,-0.1135
Polr1b,-0.0658,-0.0678,-0.6573,-0.6593
Tbcd,-0.0151,-0.283,-0.0034,-0.2713
