gene,pvalue
Klf5,1582.05
1810012P15Rik,1555.32
4930426L09Rik,1044.3
Sorbs1,937.68
Zfp263,3100
Cecr5,3100
Camta1,3100
Nt5m,3100
Ttc39b,3100
4931429L15Rik,2930.84
Fnbp1l,2488.58
Rps24,2272.33
4931429L15Rik,2079.45
Hlcs,1453.46
Kcne2,1195.36
Fermt2,965.77
Scp2,892.35
Pard6b,706.55
Mgat3,356.05
Pde6a,3100
5730494N06Rik,3100
Ltbp1,3100
Nat9,3100
Pde4d,3100
Fzd10,3100
Dlc1,3100
Pde4d,3100
Dip2c,3100
Plcd3,3100
Ckmt1,3100
Zfp36l1,2775.24
Eml1,2767.33
Zc3h12a,2719.99
Ltbp1,2098.05
Syf2,1712.65
Tmem179,1646.21
Fos,1446.7
Pou4f2,1305.65
Smad2,1196.24
Th1l,823.68
Slc9a2,517.8
Gm10295,3100
Zfp608,3100
Hps1,3100
Esrrb,3100
Nfkb1,3100
Lpar5,2958.72
Snx19,2810.83
Prss27,2387.07
Ston2,2032.33
AI314976,1989.79
Atxn7l1,1903.45
Cacna1h,1788.61
Clec16a,1629.83
Katnal1,1419.68
Pkp4,1338.04
Ddit4,1103.16
Itgb1bp1,1063.9
Gm9873,871.23
Evl,575.59
B3gnt3,477.53
Gm1968,438.61
Plec,435.98
Satb1,3100
Pla2g7,3100
Kiss1,3100
Klf5,3100
Egln3,2864.29
Max,2683.04
Nipal1,1812.66
Slc10a7,1436.13
Mtap,1427.62
Pcbd1,1223.61
1700008A04Rik,951.41
Calml4,871.22
Twistnb,785.76
Gm3452,529.96
Pknox2,3100
Dscam,3100
Gpr19,3100
2010107E04Rik,3100
Hibadh,3014.61
Prr5l,2399.37
Fcgr2b,1999.19
Ggta1,1809.11
Zbtb7c,1658.49
Ephb2,1488.83
Pcbd1,1316.72
Rptor,1132.58
1200011I18Rik,3100
Zbtb7c,3100
Cnih4,3088.09
Gtf2a1,2865.12
Synpo,2504.17
1700016H13Rik,2476.18
Scel,2317.74
1110003E01Rik,2164.05
Krt42,2132.84
Uchl3,1749.19
Gpc6,1669.28
Zfp148,1657.56
Spata13,1508.91
Pmvk,1374.59
Gtf2a1,1147.46
Etaa1,916.4
Tex264,894.52
Tab1,879.94
Cldn14,783.95
Ass1,663.69
Zmat3,466.65
Zfp36l1,465.29
Nacc1,3100
Tgfbr2,3100
Wsb2,3100
Dok5,3100
Arhgap32,3100
Baiap2,3100
Fam81a,2950.97
Dedd2,2412.71
Tacc2,1649.29
Slitrk5,1287.73
Tnrc18,748.61
Arhgap5,671.12
Tcfeb,665.48
St3gal1,560.3
Fnbp1l,134.12
Zfp521,3100
Ndel1,3100
Gm6404,3100
Fam57a,3100
Galntl5,3100
Zfp423,3100
Rprd1a,2988.51
Kcne2,2768.32
Zfp827,1630.35
4933415F23Rik,1508.22
Nav2,1400.25
Lrrc4b,1365.62
Zfp385c,762.51
Eps8l3,741.33
Tbc1d1,545.26
Ankrd13a,311
Cotl1,293.22
Grik3,171.9
Sfrp2,3100
Zfp36l1,3100
Paqr8,3100
Pde6a,3100
Plg,3100
Asap2,3067.77
Unc5cl,2196.18
Trim2,2187.92
Rapgef1,2013.37
Ythdf3,1771.31
Nomo1,1235.9
Calhm2,644.03
Haao,585
Adcy9,336.21
Cisd3,300.94
Cnn3,262.91
Polr1d,3100
2310030G06Rik,3100
Apob,3100
Gm10076,3100
Rgs3,3100
Tgfbr2,2601.78
Chd7,2460.29
1700015E13Rik,2145.39
Chit1,1797.59
Cmtm6,1689.23
Jam2,1464.5
Pdzd2,1371.49
Olfr164,1317.91
Gm525,1295.11
Tnfrsf1b,1261.82
Emp2,1105.07
Cmklr1,978.85
Ncoa3,901.1
Nol6,777.23
Slc4a8,713.82
Mxd1,513.82
Txlna,460.45
Rap1gap2,188.16
Nicn1,3150.63
Pik3c2b,3100
Ick,3100
Cpn2,3100
Lama1,3100
Mtap4,3100
Nub1,3100
Gm10000,3100
Macf1,3100
Scel,3100
5730419I09Rik,3100
Pak4,3100
Slc5a10,3100
Gm9866,3024.64
Gm9376,2383.92
6430527G18Rik,1755.75
Tmsb10,1723.19
Tmem211,1645.05
Ythdf2,1237.39
Zfp263,1233.98
1700061J05Rik,1143.87
Ak2,946.35
Map2k4,884.16
Zc3h12a,852.44
Bcar1,802.04
Gm6772,678.7
Fam131c,527.47
Vash1,450.13
2900026A02Rik,422.81
Pak1ip1,3105.38
Adamts6,3100
Arntl,3100
Btnl3,3100
Klf12,3100
Ubl3,2825.94
Lrp1,2745.94
Clasrp,2034.92
Dnajc13,1264.92
Fcrl5,1160.6
Tmem218,1130.65
Phc2,1041.87
Pdk4,973.7
6430527G18Rik,936.17
Btg1,3100
Bbs2,3100
Tbc1d1,3100
Rrm2,3100
Hs3st3a1,3100
Fbxo33,3100
Wbscr16,3100
Pole4,3064.3
Abhd3,3060.09
Bod1,3015.15
St3gal1,2718.82
Klk14,2660.3
Lnx1,2607.18
Ceacam10,2480.94
Tbx3,2358.17
Synpo2,2073.62
4833439L19Rik,2014.85
Gpt2,1851.44
Rapgef4,1724.31
Mbtps1,1626.02
Atxn7l3b,1504.86
Egflam,1496.09
Myo3b,1123.88
Cdc14b,905.98
Klf13,889.96
Epha6,864.12
Foxo6,652.29
Epas1,504.83
Wdr5,241.06
Rad23b,3177.22
Slc1a1,3100
Frem2,3100
1810011O10Rik,3100
Rybp,3100
Tmem132d,3100
Dclk2,3100
Zfp36l1,3100
Gm10655,3100
Idh2,3100
Dlg5,3100
BC021614,3100
Txn2,3100
Mzt1,2532.93
Tnk2,2339.38
Il10rb,2165.96
Ush2a,1729.77
Myo1e,1705.94
Arhgap18,1666.7
Cdkn1a,1465.69
A430005L14Rik,1453.39
Myo7b,1196.38
Nrcam,1119.18
Tbx3,936.8
S1pr4,734.84
Dscaml1,353.38
Pgls,126.38
Klf12,3197.67
Myo3b,3149.15
Kirrel3,3100
Dnajb9,3100
Strn3,3100
Usp49,3100
Cxcl17,3100
4930579C15Rik,3100
4930591A17Rik,3100
Ktn1,3100
Odz4,3100
Zfp148,3100
Dst,3100
Tbx3,3100
Egln3,2722.77
2610203C20Rik,2647.18
Whrn,2584.36
Cox7a2l,2197.97
Sh2d4b,2083.41
Wnt6,1919.19
Sulf2,1871.05
Stk24,1870.21
Fndc3a,1768.88
Tbc1d24,1676.48
Appl2,1484.67
Prkar1a,948.84
Cyp4f39,737.39
Tcf7l1,634.15
Mgll,579.03
Klf5,266.48
Iqsec3,3100
Tmem222,3100
Zfp521,3100
Gm6843,3100
Rab11fip4,3100
Bach1,3100
Pnma2,3100
1700016C15Rik,3100
Kdelr3,2902.59
AU021034,2659.94
Gm6132,2597.17
Arf3,2196.01
Mapk1ip1,1944.76
1700057K13Rik,1736.74
Chn1,1702.06
Rxra,1701.03
Barx2,1583.73
Mboat2,1336.08
Spesp1,1280.35
Kif19a,1152.21
Gm7221,1081.78
Srrm4,875.1
Rpl21-ps10,793.12
Pitpnc1,690.55
Fam81a,678.86
2610203C20Rik,544.1
9030617O03Rik,502.44
Itga3,479.45
Chga,372.76
Slc28a3,370.82
Men1,87.09
9930013L23Rik,3100
Lass4,3100
Ccdc3,3100
Kalrn,3100
4930452B06Rik,3100
Pop4,3100
Wisp3,3100
A730020M07Rik,3100
Noc3l,3100
Cldn14,3100
Dysf,3100
Bmp6,2978.16
Tmem164,2875.42
Fam174b,2484.85
Mrps30,2447.4
Ier5,2240.07
Tmprss2,2062.65
Kcnrg,2038.86
Snx6,1877.69
Klf7,1837.66
Igf1r,1602.52
Crnn,1512.68
Rap1gap2,1492.82
Tln2,1253.19
Ier2,1194.56
Slc6a8,1149.59
Tmem214,997.94
Ror2,959.94
Slc24a4,923.02
4933402J07Rik,752.3
Ltbp3,750.89
Shq1,702.52
Acvr1b,674.19
Unc5a,589.89
Fam125b,570.14
Ppp3cc,516.24
Sncb,425
Dach1,326.3
Gsx2,3203.52
Kcnrg,3100
Myadm,3100
Mtbp,3100
Axin2,3100
Mob3c,3060.9
Cngb1,2967.47
Gm6616,2646.73
Gadl1,2535.74
Igsf11,2489.15
Vdac3,2304.48
Exd2,2302.97
Max,805.88
Gna13,719.18
Flrt1,621.94
Inhbb,617.3
Papola,593.07
Uchl3,546.71
H2afb1,500.82
Exoc6,476.78
Egr3,460.38
Oas2,352.2
Ahnak2,215.46
Cdc42ep4,100.54
Leo1,3203.69
Unc5cl,3100
Klf5,3100
Btg1,3100
Pcbd1,3100
Fam20c,3100
Cacna1a,3100
Dcp2,3061.43
Spry2,2851.92
Ankrd13a,2755.61
Etl4,2365.26
Fam149b,2281.49
Tdrd3,1986.24
Rhob,1773
Ppp2r2a,1737.52
Arsg,1611.58
Whrn,1487.52
Aff1,1388.35
Cdkn1a,1365.89
Cdk15,1143.21
Cdc20,1092.84
Arhgap23,1060.81
Slc38a8,1050.91
Tob1,731.11
Ston2,648.75
Piwil1,625.77
1700001K19Rik,541.97
Cldn14,193.12
Tns1,163.63
Gm9887,3165.85
Rpl36-ps3,3144.79
Myo10,3100
Nova1,3100
C130026L21Rik,3100
Ccdc19,3100
1810011O10Rik,3100
Glrx5,3100
Krt42,3100
Trim52,3100
Entpd6,3080.74
Rhobtb1,3026.01
Dock4,2988.74
Acvr1b,2960.04
Jmy,2771.73
Mapk13,2676.7
Cast,2673.81
Aox3l1,2426.68
Gcnt2,2316.96
Etfa,2270.59
Ddi2,1816.75
Adrb1,1590.97
Rybp,1432.39
Lrp1,1416.42
Trp53i11,1103.09
Zfp462,911.44
Zfp280b,802.81
Sulf2,695.26
Pcdh9,658.95
Cacna1c,598.41
Lep,573.07
Tmsb10,526.6
Pitpnm2,435.91
Zmynd8,286.39
Zmynd8,225.04
2900026A02Rik,131.36
Cnst,3100
Ephb2,3100
Zc3h13,3100
Mcf2l,3100
Cacng5,2656.42
Gpr22,1421.25
Sfswap,1374.9
Dhtkd1,1256.3
Strada,1141.71
Itga3,1117.5
Syne2,1079.73
Il21r,1059.98
Rbm26,801.79
Insm1,770.91
Ocm,715.14
AB041803,651.82
Coro1c,645.35
Tgfbi,537.03
Mad1l1,524.43
Mtrr,447
Ubxn11,361.23
Pvrl1,289.41
Inpp5a,3100
Gm5600,3100
Pus7l,3100
Tmem132c,3100
Tmem39a,3100
Clec14a,3100
Usp6nl,3100
Mas1,3100
Pdzd2,3100
Foxo6,3100
Pepd,3100
Rapgef3,3100
Macf1,2854.32
Arhgap22,2657.63
Lrig3,2639.1
Arhgap5,2446.19
Sema6a,1674.2
Map2k6,1498.81
Zfp238,1480.97
Ppa1,1442.79
Gm17352,1185.77
Acap2,1177.15
Cacna1c,1156.09
Cited4,1122.64
Adam9,1084.04
BC032203,990.72
Pik3c2b,944.28
Copz2,809.23
Ankrd9,752.34
Pla2g12b,746.81
Slc6a6,479.28
Rreb1,467.88
Galnt2,434.55
Serpinb1c,433.85
Snx11,3100
4930591A17Rik,3100
Dcbld1,3100
Oas2,3100
Dgkh,3100
Vill,3100
Emx2,3100
Celf4,2914.09
Tle3,2820.91
Sept9,2772.6
Ehbp1,2532.74
Rpl30-ps6,2522.08
Etl4,2292.43
Hsp90aa1,1975.45
Cerkl,1868.84
Spen,1815.98
Dnm3,1757.71
Ppm1l,1480.57
Myt1l,1353.81
Gm1568,1269.68
Rgag4,1258.22
Trub2,1107.25
Adap1,996.99
Etv1,988.7
Il6ra,983.95
Tbc1d1,870.93
Zc3h12a,850.14
Scp2,838.97
Glis3,671.07
Myo18a,650.69
Cotl1,613.55
Slc9a1,603.59
Dhcr7,566.72
Tbx3,402.31
Mgat4a,394.77
Klf5,3100
Pax5,3100
Odz4,3100
Stim2,3100
Lphn2,3100
Flrt2,3100
St14,3100
Arhgef10l,3100
AI427809,2832.42
Pcdh15,2781.57
Cnot2,2192.81
Rtn1,1873.22
Tcl1b2,1595.26
Zc3h7b,1575.44
Ddah1,1070.32
Umps,915.38
Atg4b,907.85
4930404H24Rik,768.99
E2f8,723.53
Klf12,575.54
Hmgcl,403.41
Msh6,363.95
Cacna1a,264.86
Rmnd5b,235.08
Acacb,222.06
8430427H17Rik,203.11
Tcp11,166.9
Snapc3,3100
Bend5,3100
Hs3st3b1,3100
Tgfbr3,3100
Ednrb,3100
Chadl,3100
Nrf1,2895.51
Foxp4,2683.88
Mapkap1,2640.03
Gm17697,2494.31
Rbms3,2370.31
Daam1,2079.39
Dusp6,2069.34
Ndrg3,2058.76
Ptges,1883.36
Prkag1,1805.3
Rnf144a,1538.87
Nampt,1466.39
Prr3,1397.4
Ppapdc1a,1293.86
Zfp423,1278.61
Arid1b,1249.49
Lingo1,1141.51
Rcsd1,1010.62
Arfgap3,721.52
Zfp512,673.09
Ntng2,671.51
Lpin1,624.65
Fam65a,607.99
A430005L14Rik,561.46
Mtap4,554.18
Sulf2,346.41
Rbms3,328.2
Bnipl,314.6
Rapgef1,253.57
Slc38a8,114.77
Atxn7,3100
Tle4,3100
Tmem178,3100
Thbs1,3100
Raf1,3100
Lmo2,3100
Specc1,3100
Klf5,3100
Gm7325,3100
Ly75,3100
Abcc4,2684.99
Gm9913,2119.58
Spink4,2063.28
2310035K24Rik,1979.49
A930001N09Rik,1928.3
4732465J04Rik,1718.77
Ube2d1,1641.5
Ptafr,1638.06
Sulf2,1582.08
Pbp2,1547.99
Dpp10,1447.94
Kalrn,1261.78
Cmpk2,1175.29
Fdft1,1110.72
Lamc3,1095.21
Slc2a1,969.9
Gcnt2,861.79
Adat3,853.96
Asns,734.16
Ikbkb,642.7
Rora,593.58
Prkar1a,528.45
Prkcb,516.69
Sulf2,96.61
Inhbb,3100
Parva,3100
Klf12,3100
Mkln1,3100
Ppp1r14d,3100
Man1a,2985.02
Sipa1l2,2983.54
Zfp64,2949.38
Vrk1,2812.71
Pax2,2741.72
Loxhd1,2174.63
Itga9,2156.92
C130039O16Rik,2060.63
Jarid2,2030.06
1700010L04Rik,2012.96
Myo1e,1651.25
Cerkl,1589.61
Pknox1,1577.76
Birc6,1516.84
Zfp518b,1472.7
Cog2,1453.44
Kif26a,1447
Zfp36l1,1444.88
Rcn1,1274.74
A430005L14Rik,1265.54
Tet2,1243.98
Ccnd3,1217.03
0610037P05Rik,1082.46
Jdp2,1060.4
Gm10110,947.08
Slc39a14,900.56
4930591A17Rik,898.7
2610203C20Rik,845.01
Fkbp5,811.59
Nt5c1a,789.14
Gm10451,745.79
Scn10a,717.41
Mycn,613.27
Igsf3,537.4
Plekhb2,480.28
Zfyve1,455.42
Fam46b,443.09
Ptpru,413.21
Atad2b,397.52
Tsc22d1,89.6
Plekhh1,3100
Ropn1,3100
Tmem178,3100
Tagap,3100
Rgs22,3100
Rorb,3100
Fam116a,3100
Prss48,3100
Hoxd3,3100
0610007L01Rik,3100
Btbd11,3100
Fcgr2b,3100
Dnajb6,3100
B4galt5,2815.08
Gpatch1,2707.23
Sspn,2641.79
Ptprk,2461.06
Gadd45b,2261.02
Aacs,2213.7
Nav2,1909.4
Kif26a,1904.11
Epb4.1l4b,1860.37
AI464131,1860.26
Gphb5,1650.12
Pax1,1580.63
Slc29a3,1544.55
4933403G14Rik,1472.76
Zfp516,1408.73
Pxk,1174.55
Sparc,1126.18
Ube2w,1038.02
BB014433,978.89
Lyzl1,903.53
Gm4340,874.94
Sgk1,805.09
Scn8a,801.51
Wwp2,683.56
Fam92b,649.58
Ccnd1,530.86
Phyh,479.66
Kif16b,462.21
Zmynd8,274.12
Idh2,3126.49
Trpc4ap,3100
Jmjd1c,3100
Rgs6,3100
Zfp827,3100
Myo1e,3100
Diap3,3100
Gm10858,3100
Snai2,2905.54
Cdk15,2779.85
Tns1,2647.25
Eif4ebp2,2604.94
Pkdcc,2392.08
Dhx32,2306.33
Pde4d,2240.16
Gpt2,2160.37
Bmp6,2137.25
A4galt,2077.08
Lin54,1999.17
Gm355,1975.55
Rps2-ps5,1825.21
Fig4,1717.12
Bcas3,1710.28
Plcd3,1653.07
D730040F13Rik,1590.95
Gas7,1590.04
Hpgds,1586.06
4930423O20Rik,1491.9
Lypd6b,1436.12
Dlg5,1359.64
Pcdhgc5,1163.84
Ntsr2,1046.34
Cxxc5,969.86
1700019N19Rik,925.18
Atxn7l1,889.95
Anxa3,869.96
Otor,843.8
Cnksr2,741.57
Rgs6,739.02
Lphn3,631.86
1700008A04Rik,590.95
Rab6b,550.61
Fndc3a,484.01
Lhfpl3,408.89
Tmem179,87.02
Ankrd55,3208.61
Tmem132d,3100
Bcar3,3100
Mll3,3100
4933436C20Rik,3100
Tmem2,3100
Ido2,3100
Rora,3100
Shfm1,3100
Clic5,3100
Nckap5,3100
Sp8,3100
Mtap1s,3100
Plekhg1,3100
Tmem154,3100
Igsf21,3100
Dpys,2372.72
Lsm3,2276.95
Dusp4,2005.93
Gbas,1917.11
Trib2,1903.48
Gm12942,1849.1
Lphn2,1689.21
Rbfox1,1287.55
Aff1,1135.7
Stx8,1130.74
Rsph1,1044.98
Prrx2,1011.47
Cd1d2,964.14
Dnaic1,937.9
Cdca7l,895.81
Fam13c,773.98
2310044G17Rik,769.5
Fnbp1l,751.62
Cdca4,555.17
Acp5,538.22
Sema4g,465.21
Inf2,429.52
Eri3,372.68
Akap1,356.42
Lyn,298.54
Dctn6,229.47
Syt6,166.88
5730522E02Rik,3100
Lif,3100
Gcnt2,3100
Pawr,3100
Sdr16c6,3100
Ppp1r15b,3100
6430527G18Rik,3100
Fam78b,2693.08
Adam1b,2544.68
Mapk1ip1,2539.42
Gm10132,2455.41
Tbc1d24,2380.35
Grik3,2106.52
Gpr180,1998.65
Birc5,1771.42
Lrrc38,1736.98
Bcl11b,1731.93
Fam120a,1581.58
Calhm1,1446.25
2310046K01Rik,1345.47
Pmepa1,1291.18
Scml4,1237.62
Gm4889,1236.97
Man2a1,1151.72
4931429P17Rik,1063.23
Rnf2,1050.58
Cln8,925.76
Ptprt,879.33
Mylk,862.81
Snx9,817.57
Mterf,794.78
Plekha6,782.5
Tmem232,755.91
Gpr22,629.11
Gm8894,504.95
Klf13,493.44
Rusc2,480.3
Sobp,422.28
Slc39a10,402.07
1700010I14Rik,346.7
Ccdc81,249.88
Tdpoz1,208.55
Pou5f1,3100
Slc15a2,3100
Csf3r,3100
Hspb8,3095.2
Dclk2,2752.44
St6gal2,2490.7
1700010I14Rik,2083.19
Zfp516,2032.8
Cdh5,1944.08
Prom1,1728.81
Hdac4,1558.78
Tshz2,1549.8
Itpr1,1503.45
Pitpnb,1390.25
Grtp1,1286.15
Gm17301,1244.7
Spire2,1134.77
1110002B05Rik,1110.77
Barhl1,1037.84
Gm15319,1035.66
Vrk2,1032.59
Msx3,988.05
Zfp516,914.66
Esrrb,804.54
Ier5,720.51
Mocs1,718.61
Crh,640.67
Atp6v1c2,611.15
Capn11,547.9
Etaa1,534.03
Tssc4,492.72
Rad21,454.56
Obfc1,445.6
1700039E15Rik,398.34
Gm9887,259.66
Fam19a4,3100
Lrrn3,3100
Dnajc24,3100
Rpl7l1,3100
Agpat4,3100
Diap3,3100
Gm17301,3100
Usp7,3100
Prr13,3100
Ccdc19,3098.52
C330005M16Rik,2149.78
Oma1,2070.8
Pmp22,1780.29
Banp,1710.53
Tcerg1l,1700.63
Rcbtb2,1624.08
Zfp825,1506.67
C1qtnf2,1454.94
Tcf7l2,1418.71
Nek7,1378.94
Gm9885,1320.22
Cacna1e,1272.57
Lamc2,1170.95
Ephb2,1161.16
Gm7935,1131.66
Fam81a,1100.64
Vapb,1006.37
Ell2,997.74
Trim25,990.06
Bcl2l11,988.06
