genes,adjP(Z6/E14Tg2a),adjP(OKO160/E14Tg2a),adjP(Z6/OctGip),adjP(OKO160/OctGip)
AL935150.6,0.8527,0.5284,0.8251,0.481127171
AC136746.1,0.9828,0.8376,0.9798,0.886055983
AC147987.3,0.7284,0.5805,0.619,0.816038688
AL670236.4,0.9899,0.6973,0.9507,0.840934652
AC123795.1,0.9362,0.9834,0.9735,0.876307293
AC107744.1,0.9738,0.9079,0.9405,0.981834416
AC152824.1,0.6888,0.5398,0.6793,0.518000672
AC151715.1,0.639,0.6865,0.9362,0.876688069
AC164538.1,0.9593,0.8365,0.698,0.802853754
AC151841.1,0.6264,0.8006,0.6167,0.765002093
AC140398.1,0.8105,0.8869,0.9189,0.969819357
AC122863.3,0.5431,0.7498,0.7639,0.907766539
AC124444.1,0.0093,0.9063,0.1468,0.550674964
AC103388.1,0.9323,0.9852,0.8387,0.87866667
AC127694.1,0.8734,0.3765,0.9813,0.703959783
AC111120.1,0.9538,0.9149,0.9732,0.947883527
AC119880.1,0.6056,0.4249,0.8918,0.964725145
AC130210.2,0.8275,0.9625,0.9841,0.747456363
AC114988.1,0.6931,0.9658,0.9372,0.634545378
AC127355.1,0.6523,0.9994,0.5352,0.907935805
AC158296.1,0.871,0.2446,0.7978,0.165136214
AC148977.1,0.9403,0.874,0.6328,0.86751771
AC155806.2,0.6737,0.5643,0.9554,0.985321003
AC162692.1,0.4432,0.5431,0.6228,0.709884177
AC131980.1,0.1372,0.1337,0.9289,0.929939144
AC157563.3,0.1316,0.0088,0.2723,0.014996088
AC120180.1,0.8794,0.8662,0.9406,0.934216231
AC114655.1,0.9762,0.9792,0.9191,0.958724367
AC124550.1,0.9437,0.9176,0.9947,0.996313773
AC164373.1,0.7441,0.5282,0.9187,0.755538468
AC166829.1,0.6188,0.9653,0.8014,0.981993199
AC101777.1,0.8635,0.5836,0.8954,0.642763646
AC127433.1,0.9946,0.9591,0.9282,0.853022148
AC157362.1,0.9939,0.9802,0.9863,0.974456514
AC158928.1,0.6944,0.9488,0.9122,0.952459314
AC142191.1,0.828,0.7499,0.8753,0.901790808
AC164612.2,0.8602,0.2218,0.5956,0.968076323
CT025531.2,0.5941,0.8807,0.9815,0.756140824
AC155722.1,0.9904,0.9779,0.9375,0.943548856
AC122015.1,0.9777,0.4209,0.985,0.479074167
AC153872.3,0.9088,0.9105,0.9808,0.858072866
AC158662.1,0.7981,0.5853,0.9237,0.76373455
CAAA01037531.1.36077.2,0.6653,0.9921,0.653,0.959757082
AC163294.1,0.9411,0.9293,0.8818,0.854716614
AC129024.1,0.9575,0.9414,0.9572,0.959333261
AC159313.3,0.1867,0.0083,0.5165,0.024975136
AC161812.1,0.9946,0.9292,0.5399,0.387577903
AC113320.1,0.8034,0.9163,0.8927,0.972444419
AC111135.1,0.9399,0.9684,0.9139,0.935434941
AC161198.5,0.7853,0.9468,0.9943,0.71126413
AC109202.1,0.1958,0.8571,0.3343,0.963742786
AC137558.1,0.6108,0.6999,0.804,0.855566775
AC137513.1,0.6926,0.8479,0.9372,0.988950108
AC119237.1,0.8034,0.7718,0.8826,0.850229843
AC118255.1,0.442,0.9031,0.804,0.941380048
AC122525.1,0.9739,0.9527,0.9947,0.930671914
AC164565.1,0.8754,0.4959,0.8205,0.992897719
AC127285.1,0.8665,0.7517,0.9815,0.977402528
AC138765.1,0.6374,0.6862,0.9959,0.266253388
AC122190.1,0.7308,0.7328,0.2712,0.250442
AC127580.1,0.9257,0.8515,0.974,0.706011015
AC105173.1,0.4071,0.6611,0.938,0.948352182
AC122013.1,0.1122,0.6626,0.9557,0.538556199
AC115820.1,0.8629,0.3012,0.9594,0.687794679
AC140326.1,0.516,0.9904,0.951,0.432443052
AC159318.2,0.8952,0.6803,0.8782,0.985562972
AC163287.2,0.8479,0.8051,0.0039,0.002410409
AC170806.2,0.7029,0.7452,0.8799,0.903965621
AC110564.1,0.9387,0.3965,0.9799,0.283768872
CT009765.1,0.9408,0.8852,0.847,0.756899913
AC110382.1,0.9333,0.9247,0.9995,0.998947432
AC115727.1,0.9672,0.6602,0.916,0.444602351
AC142228.1,0.9629,0.7738,0.86,0.978402816
AC127334.1,0.7983,0.9795,0.9594,0.758598426
AC102860.1,0.6512,0.8426,0.9663,0.94549041
AC105966.1,0.3793,0.6794,0.3334,0.620493352
AC140312.2,0.5227,0.3815,0.9732,0.987175478
AC122487.1,0.6589,0.6304,0.9648,0.964209728
CT485788.1,0.9298,0.9271,0.8883,0.857851965
AC087117.1,0.6471,0.7474,0.9852,0.923693425
AC159277.1,0.9614,0.8427,0.4306,0.708731329
AC122821.1,0.7451,0.8383,0.9382,0.988950108
AC154507.1,0.9762,0.3144,0.9991,0.309521864
AC167222.2,0.7891,0.736,0.6771,0.601304959
AC167222.1,0.7048,0.5827,0.8302,0.864282516
AC153506.1,0.8979,0.1474,0.9983,0.290051088
AC124585.1,0.8823,0.8823,0.9877,0.99265391
AC130216.1,0.6116,0.9683,0.927,0.850688545
AC125276.1,0.0458,2.6971086427119E-4,0.1624,6.19620208032717E-4
AC129018.1,0.8436,0.9236,0.8337,0.422215811
AC162384.1,0.8526,0.9385,0.9566,0.856745382
AC154824.1,0.9375,0.8162,0.9592,0.845147889
AC098733.1,0.8877,0.9814,0.9502,0.771540028
AC134869.2,0.8714,0.8978,0.9924,0.99104858
AC112962.1,0.9546,0.6968,0.9592,0.54888815
AC117612.1,0.862,0.4499,0.5179,0.853005292
AC133159.1,0.9077,0.5112,0.8215,0.38393656
AC133496.1,0.9309,0.8978,0.8804,0.832037393
AC123834.2,0.6057,0.5484,0.958,0.964421103
AC134826.1,0.5228,0.6585,0.9959,0.921497084
AC122861.4,0.5198,0.6102,0.5806,0.658788119
AC164315.1,0.8114,0.1702,0.9579,0.561694535
AC112142.1,0.8012,0.7781,0.879,0.852020798
AC114585.1,0.9347,0.5874,0.7496,0.975099521
AC134575.2,0.6056,0.1728,0.8714,0.895188204
AC154627.1,0.9475,0.6625,0.8702,0.859653313
AC163280.1,0.5551,0.6064,0.9625,0.993027823
AC121599.2,0.9794,0.7568,0.951,0.929419233
AC133967.1,0.7768,0.5811,0.9845,0.882908961
AC130214.1,0.8885,0.9779,0.9598,0.948412496
AC123977.1,0.9015,0.9399,0.9663,0.764924441
AC108434.1,0.6419,0.4067,0.9919,0.876373581
AC161167.1,0.7061,0.9043,0.9655,0.488702754
AC130654.2,0.1348,0.1388,0.9965,0.984780351
Mgmt,0.8496,0.4775,0.3005,0.984341719
Spata22,0.7178,0.3427,0.9072,0.572766298
Mki67,0.5664,0.5307,0.6413,0.597405366
Rpa2,0.6011,0.8593,0.8309,0.752186831
Tank,0.1279,0.205,0.3635,0.49755028
Aspa,0.9846,0.9317,0.8198,0.89479386
Xkr8,0.8544,0.7529,0.8634,0.754926669
Trpv3,0.9762,0.9689,0.8894,0.782326723
Mcm7,0.9794,0.4486,0.9383,0.393713609
Ptpre,0.7326,0.7995,0.9877,0.946417009
Clrn3,0.9707,0.7051,0.9705,0.619116115
Rbms1,0.9794,0.4915,0.758,0.94913974
Foxi2,0.3803,0.7061,0.9757,0.836865205
4930544L04Rik,0.8173,0.8491,0.9282,0.793829859
Trpv1,0.7886,0.5631,0.8337,0.607841852
Cops6,0.1077,0.9371,0.5134,0.74639373
Shpk,0.8492,0.9785,0.7243,0.855566775
Zfp113,0.5364,0.1585,0.8404,0.367549653
Eya3,0.6825,0.7542,0.9732,0.99483872
Ctns,0.967,0.4285,0.8362,0.859653313
Ptafr,0.7605,0.83,0.9282,0.848314052
Itgb6,0.9109,0.9163,0.9667,0.974919284
Zscan21,0.3261,0.8254,0.9877,0.566644533
Dock1,0.9909,0.3689,0.6639,0.07509259
Tax1bp3,0.5895,0.0019,0.9799,0.01270429
D7Ertd443e,0.7813,0.7614,0.9463,0.939553166
Tmem93,0.9946,0.9258,0.8503,0.920721002
A130023I24Rik,0.9134,0.7891,0.9918,0.664746067
Zkscan1,0.8126,0.8739,0.4891,0.901145905
Pla2r1,0.8772,0.9974,0.9705,0.950786099
Unc13d,0.3624,0.7782,0.7895,0.979349456
Adam12,0.7636,0.7449,0.7901,0.826767605
Unk,0.26,0.4252,0.977,0.831507363
Dnajc8,0.6052,0.1063,0.924,0.695433949
Atrn,0.6178,0.3245,0.2909,0.514216827
H3f3b,0.8736,0.2983,0.6766,0.027994598
P2rx5,0.0269,0.4965,0.1339,0.919087575
Galk1,0.0248,0.6773,0.1568,0.261674191
Gsg2,0.9088,0.3727,0.6835,0.981993199
Fank1,0.9846,0.5423,0.9635,0.67598492
Atpif1,0.7907,0.5763,0.9784,0.945936297
Azgp1,0.9634,0.7604,0.3728,0.592816275
4930402H24Rik,0.8214,0.8247,0.355,0.831046221
Sesn2,0.4267,0.0668,0.2787,0.028756925
Slc4a11,0.534,0.536,0.9797,0.991231622
Ly75,0.9298,0.9472,0.9451,0.959543181
Itpa,0.5026,0.8666,0.5355,0.9225045
Dhx32,0.3583,0.4352,0.1763,0.212560648
Med18,0.0484,0.1185,0.6413,0.854753883
Cd302,0.955,0.692,0.6066,0.841808055
Cyp3a13,0.9403,0.2774,0.9624,0.532153932
Bccip,0.3236,0.1673,0.4625,0.633604621
Itgb4,0.0256,0.0022,0.0268,0.002031123
Itgae,0.0023,0.0278,0.0261,0.309518653
Pilrb1,0.9421,0.8071,0.8445,0.660176346
March7,0.3312,0.2366,0.997,0.96593525
Ddrgk1,0.201,0.5095,0.1903,0.482573304
1200014J11Rik,0.6384,0.7649,0.9635,0.863463837
Sap30bp,0.9473,0.9165,0.96,0.944745276
1110017F19Rik,0.2984,0.9796,0.7025,0.752771643
Prosapip1,0.6835,0.4188,0.8781,0.312840907
Uros,0.1641,0.1449,0.1877,0.148213271
Fastkd5,0.0318,0.1343,0.0501,0.185569161
2210020M01Rik,0.7363,0.3935,0.5395,0.722577431
Ubox5,0.7888,0.1925,0.8888,0.743705742
Avp,0.9477,0.8291,0.9877,0.813936679
Phactr4,0.2363,0.3393,0.3398,0.451145924
Oxt,0.7766,0.6541,0.7075,0.566644533
Pilra,0.7772,0.9091,0.6832,0.808805874
Recql5,0.8602,0.7948,0.7773,0.24045195
AC171404.1,0.0439,0.2859,0.049,0.297882751
Mmp21,0.9242,0.7361,0.9222,0.455833824
Mrps26,0.3587,0.4766,0.0827,0.111438541
4930473A02Rik,0.961,0.9512,0.7859,0.584681887
Zcwpw1,0.1591,0.0129,0.3218,0.022757789
Ptpra,0.6407,0.1384,0.9352,0.711293744
Camkk1,0.9704,0.9475,0.4579,0.387434934
Hp1bp3,0.9946,0.5583,0.9594,0.720447796
Mepce,0.9992,0.5391,0.972,0.686727793
2010007H12Rik,0.4171,0.6956,0.6883,0.907714171
AC147614.1,0.8281,0.2659,0.3889,0.802969469
Myo15b,0.699,0.5558,0.3392,0.966014503
2700050L05Rik,0.6014,0.1077,0.8894,0.281298329
Hoxd4,0.6168,0.6022,0.7513,0.725571957
1700109F18Rik,0.4531,0.8443,0.7475,0.996692952
AC137969.2,0.6173,0.3981,0.8448,0.94601746
4930404H21Rik,0.7732,0.3962,0.8634,0.975125715
Llgl2,0.2263,0.3519,0.0859,0.132607508
P2rx1,0.9676,0.8815,0.9268,0.979349456
Supt6h,0.7683,0.9684,0.8488,0.429855393
Proca1,0.9818,0.7694,0.8956,0.982572589
Vps16,0.2759,0.2448,0.7176,0.693412592
Baz2b,0.7414,0.524,0.9001,0.98838134
Fam113a,0.6492,0.5773,0.8628,0.796836737
Polr3k,0.4847,0.7936,0.4148,0.713985794
Flt1,0.2795,0.1369,0.2974,0.131480824
4933425O20Rik,0.926,0.6661,0.6802,0.352977325
Pcmtd2,0.254,0.9308,0.3464,0.924688435
AC110496.4,0.8952,0.6574,0.994,0.852293698
Tsen54,0.0079,0.4682,0.0017,0.07785023
Stom,0.589,0.7775,0.5888,0.756182205
1700020A23Rik,0.7542,0.5305,0.9246,0.759831885
Rcc1,0.3668,0.9416,0.3699,0.925959505
Hoxd3,0.2899,0.4488,0.7755,0.903956138
Cpxm1,0.2836,0.0557,0.857,0.35419402
Epha10,0.9128,0.9852,0.9292,0.99483872
AC171680.1,0.6173,0.3981,0.8448,0.94601746
Myt1,0.4778,0.9555,0.8923,0.668089947
1700109F18Rik,0.6502,0.603,0.8665,0.823711978
Mrgprd,0.9803,0.9154,0.9509,0.877860336
Caskin2,0.0432,0.0955,0.146,0.275008637
Pan3,0.5806,0.6267,0.5806,0.612313557
Zfp11,0.6382,0.7405,0.5847,0.665467133
Mrgprf,0.571,0.8529,0.9967,0.384510365
Wrap53,0.0927,0.1162,0.188,0.214529328
AC114657.2,0.7624,0.1711,0.8829,0.74362833
Syf2,0.2743,0.5393,0.8713,0.552313976
Hoxd8,0.9132,0.9935,0.7463,0.534963182
Maneal,0.0055,0.1314,0.024,0.441916588
Ebf4,0.8135,0.5735,0.7732,0.514509599
Hoxd9,0.7699,0.6622,0.96,0.992897719
Efnb3,0.9037,0.9976,0.9726,0.856179273
Hoxd10,0.8738,0.6763,0.8767,0.686727793
Lrdd,0.5537,0.7017,0.1256,0.182057734
Idh3b,0.2929,0.6122,0.8731,0.503155686
Sh2b1,0.6404,0.5782,0.924,0.935142493
Ctbp2,0.141,0.2983,0.3766,0.620990846
Flt3,0.9203,0.5334,0.8834,0.490178088
Prhoxnb,0.3546,0.2283,0.9994,0.944507494
Oprl1,0.5026,0.2511,0.9994,0.854608616
D4Wsu53e,0.2975,0.8887,0.7306,0.901239107
Mmp17,0.2182,0.5695,0.809,0.976325629
2310067B10Rik,0.9908,0.813,0.8777,0.630966917
Tmem50a,0.0207,0.9188,0.0133,0.8090249
4930526D03Rik,0.8915,0.9657,0.2175,0.270384141
Tpcn2,0.8952,0.6916,0.8262,0.943460675
Tsc22d4,0.9957,0.7399,0.969,0.857314578
Yrdc,0.9294,0.7893,0.804,0.978050638
RP23-168M5.3,0.5334,0.7643,0.5961,0.794378067
Hoxd11,0.6411,0.9653,0.4841,0.832912558
Hoxd12,0.086,0.4573,0.4402,0.948507232
Prss36,0.9619,0.3712,0.8573,0.228943426
Zranb1,0.864,0.4016,0.8754,0.416948847
Cdx2,0.7542,0.2722,0.7786,0.267233831
Rgs19,0.8512,0.6423,0.9702,0.544091868
Alox15,0.9949,0.9867,0.9835,0.9958671
6430598A04Rik,0.566,0.6421,0.9457,0.866576787
Ccnd1,0.039,0.814,0.0519,0.861101428
Nop56,0.7028,0.9196,0.9881,0.817033329
Gsn,0.9223,0.7152,0.9611,0.730586508
Ubr3,0.7365,0.9193,0.5926,0.966277287
Hoxd13,0.9361,0.9991,0.8702,0.930671914
Rhbdd2,0.881,0.9026,0.9605,0.976325629
Pdx1,0.7297,0.7138,0.9451,0.936309155
Tmc2,0.9593,0.6301,0.5831,0.873380585
Gsx1,0.6419,0.4596,0.8933,0.755497573
Atp2a1,0.8605,0.8849,0.9723,0.946417009
Oraov1,0.8321,0.8133,0.8818,0.855566775
Rhd,0.9318,0.8789,0.9082,0.957472205
Snrpb,0.6199,0.8658,0.8133,0.971622225
Tcea2,0.9947,0.4135,0.6591,0.944880926
Yars,0.1832,0.7394,0.9072,0.712045165
Sfrs8,0.9623,0.7916,0.868,0.966277287
Wdsub1,0.8087,0.1184,0.9705,0.257459772
Ccl24,0.19,0.79,0.7466,0.859653313
AC158913.1,0.479,0.2306,0.7497,0.440646234
Sox18,0.2382,0.3788,0.3534,0.514755103
Vps53,0.8624,0.5928,0.7404,0.911083359
Prss8,0.3975,0.0478,0.7026,0.117970656
Samd10,0.5055,0.9719,0.8483,0.867284468
Fam175b,0.2349,0.4908,0.836,0.997729058
Ccl26,0.8866,0.8787,0.9732,0.972672376
Grb2,0.5555,0.3233,0.5247,0.278530944
Mettl5,0.2519,0.0651,0.2464,0.051647622
Alox12e,0.6577,0.9926,0.3126,0.731511521
Dnahc2,0.8173,0.6042,0.9827,0.86530011
Prpf6,0.6223,0.7949,0.9817,0.860103628
Tgm6,0.9063,0.5948,0.7845,0.425273211
Fam101b,0.3931,0.7605,0.698,0.964575313
Myst1,0.8365,0.3533,0.5961,0.953131287
Eif4g3,0.9721,0.139,0.6574,0.671587568
Tgm3,0.8891,0.8753,0.9833,0.980075773
Trnau1ap,0.7946,0.695,0.4631,0.345991622
Rab14,0.0676,0.184,0.8024,0.984461884
Stk35,0.6273,0.7497,0.6928,0.784409689
Acvr2a,0.868,0.9583,0.9545,0.849124799
Rab42,0.6863,0.2863,0.9559,0.845921701
Gpr133,0.8493,0.3154,0.8714,0.331691522
Slc25a22,0.5869,0.5111,0.774,0.694611845
Evx2,0.6856,0.5872,0.9994,0.974140227
Slc25a19,0.8919,0.2791,0.7785,0.872869606
Agfg2,0.9813,0.4774,0.7245,0.959528778
Fgf15,0.0126,0.0064,0.0122,0.004806548
Alox12,0.152,0.8189,0.4199,0.98828201
RP23-313J15.3,0.0077,0.8297,0.0059,0.733788801
1700016K19Rik,0.2725,0.8414,0.4416,0.771365428
Defb23,0.7137,0.9573,0.8482,0.997951192
Polr1d,0.7385,0.5665,0.9301,0.814076612
Mettl10,0.4448,0.0938,0.7857,0.952031849
Pdyn,0.5584,0.4461,0.2487,0.16495987
Mtf1,0.6076,0.1447,0.8119,0.254785298
Cend1,0.5099,0.4486,0.3952,0.325364873
AL691413.3,0.7412,0.0748,0.5896,0.033088489
Fgf4,0.4405,0.8743,0.1659,0.521977173
Bckdk,0.2088,0.0736,0.2479,0.075109225
Taf12,0.483,0.272,0.6052,0.348344563
Uckl1,0.5373,0.6659,0.9744,0.970138921
Tmem57,0.6168,0.6843,0.5806,0.831660996
6820408C15Rik,0.7756,0.7963,0.8835,0.769704754
Fgf3,0.8185,0.8305,0.919,0.927551137
Irs3,0.9637,0.6853,0.8568,0.920396298
Mif4gd,0.7203,0.8341,0.9765,0.580001227
Zcchc3,0.3359,0.432,0.1032,0.132789413
Sap25,0.972,0.7538,0.9967,0.755538468
Rabep2,0.9986,0.4016,0.4899,0.050675443
Sox12,0.2785,0.0585,0.7296,0.241984994
Lnx2,0.5236,0.5825,0.9648,0.997729058
Mrps7,0.5687,0.6332,0.7705,0.562299769
Nrsn2,0.9404,0.7441,0.987,0.725571957
AC149593.1,0.6913,0.5058,0.9956,0.923505322
Gmeb1,0.8432,0.5065,0.2543,0.948889126
Kdm6b,0.7312,0.2637,0.9547,0.551011584
Mtif3,0.6895,0.1422,0.976,0.438351158
Tmem88,0.3223,0.9778,0.9426,0.443988165
Trib3,0.0077,0.2568,0.0177,0.465960904
Fam53b,0.7801,0.3456,0.4877,0.850791308
S100pbp,0.0074,0.1701,0.4258,0.896951242
Actb,0.2031,0.3692,0.0963,0.178659387
Dnajc5,0.2228,0.018,0.9165,0.245768631
Sirpa,0.0053,0.7935,0.0268,0.944691576
Ran,0.7231,0.3742,0.986,0.839605788
Cog2,0.8504,0.1733,0.9404,0.258085651
Rnasek,0.4981,0.9174,0.6292,0.905840206
Lnp,0.8179,0.9176,0.9705,0.97618074
Cd19,0.8941,0.8932,0.8454,0.821767834
F830045P16Rik,0.8584,0.5057,0.8097,0.992766386
Igfbp7,0.6213,0.8406,0.9375,0.733468194
Ldlrap1,0.9239,0.3169,0.9667,0.314395524
Vkorc1,0.2804,0.4826,0.669,0.852446408
Lsmd1,0.3782,0.7902,0.3008,0.694611845
Cyb5d1,0.9026,0.6636,0.9849,0.900090049
Pddc1,0.5563,0.7309,0.0766,0.027938265
Pom121,0.6654,0.8503,0.7006,0.909405989
Nfatc2ip,0.2897,0.2316,0.619,0.519830986
Tanc1,0.0299,0.2945,0.1901,0.808299886
Tpd52l2,0.4055,0.6312,0.7932,0.363543992
Fndc5,0.449,0.4636,0.9594,0.927551137
Gga3,0.8826,0.6926,0.4836,0.067696823
Ptpn3,0.8156,0.7542,0.9611,0.40909679
Rph3al,0.8021,0.5883,0.4169,0.988307068
BC039632,0.8245,0.9881,0.977,0.874425219
Ythdf2,0.1127,0.3955,0.4751,0.869041711
Inpp5b,0.855,0.5286,0.9122,0.957527603
Dapl1,0.7736,0.792,0.7318,0.725893189
Rbck1,0.7132,0.79,0.9815,0.388917896
Rab34,0.1024,0.0421,0.7243,0.453425034
BC050777,0.9934,0.9476,0.853,0.756182205
Nsun5,0.9175,0.7283,0.9755,0.840934652
Ntf3,0.892,0.9894,0.9607,0.812565472
Fbxl18,0.0621,0.4065,0.4755,0.981834416
Il1b,0.5304,0.989,0.9451,0.725571957
Lrch4,0.972,0.7538,0.9967,0.755538468
Ptchd3,0.9803,0.9852,0.9457,0.946816418
Prame,0.9393,0.8656,0.8933,0.80192928
Zbtb46,0.5465,0.5729,0.972,0.943460675
Il1a,0.7172,0.1629,0.4244,0.941789224
Ckap2l,0.1231,0.0686,0.8575,0.695433949
Stx2,0.0393,0.4955,0.2429,0.96357916
Timm17a,0.6648,0.034,0.8863,0.072458631
A730036I17Rik,0.9986,0.8466,0.6039,0.776924589
Ssb,0.8365,0.263,0.9672,0.649141781
Sf3a3,0.8304,0.5294,0.1572,0.831630114
Rabggtb,0.5163,0.1835,0.7225,0.303327255
Tbc1d20,0.9231,0.7663,0.8921,0.725893189
Zeb2,0.8312,0.3492,0.9966,0.679853595
Ano1,0.2491,0.5128,0.25,0.511581025
Taldo1,0.4472,0.9684,0.0287,0.002808292
Polr2b,0.6986,0.5282,0.5763,0.384081181
B3gntl1,0.8872,0.8027,1,0.967321031
Lime1,0.9448,0.14,0.8024,0.569987633
Nup85,0.9762,0.5845,0.9275,0.417229558
Fadd,0.6994,0.579,0.8753,0.774839345
Trim50,0.5934,0.8754,0.6805,0.914735836
Spns1,0.257,0.6061,0.8668,0.947883527
Doc2b,0.8954,0.76,0.9477,0.839252363
Zfp750,0.3022,0.3457,0.2352,0.257459772
Atp2a3,0.8682,0.0837,0.812,0.052185172
Pgbd5,0.6144,0.7735,0.8496,0.65125163
Klhl23,0.5404,0.6625,0.8714,0.947704027
Atp5g3,0.8893,0.6298,0.5118,0.236639647
Slc20a1,0.0644,0.0181,0.804,0.986233559
Fhl3,0.7529,0.3028,0.8829,0.444849066
0610010K14Rik,0.9853,0.989,0.9967,0.994884768
Ppfia1,0.8816,0.3869,0.8751,0.375381904
Aftph,0.9521,0.4539,0.5538,0.965036997
Arfrp1,0.0806,0.3473,0.2227,0.653259043
Chchd5,0.9373,0.6497,0.0299,0.068736316
Csnk2a1,0.4454,0.8782,0.704,0.758581039
Man1c1,0.3053,0.4227,0.0644,0.089665548
Lhpp,0.8055,0.2474,0.1416,0.013514908
Rimbp2,0.7251,0.5438,0.7095,0.515187956
Tcf15,0.7824,0.1043,0.544,0.312838847
Slc16a1,0.8417,0.9597,0.9579,0.976325629
Gtf3a,0.1167,0.0035,0.0162,5.65002234703505E-4
Srxn1,0.4034,0.0161,0.7637,0.005975286
Sumo2,0.6268,0.4392,0.9386,0.816063541
Fyco1,0.9493,0.9357,0.9947,0.992317434
Utp11l,0.2283,0.6957,0.9359,0.763550007
Oprd1,0.9962,0.9153,0.998,0.933379965
Tnrc18,0.7208,0.4552,0.8654,0.981541791
Nfya,0.3367,0.8821,0.8475,0.48325865
Hps5,0.8241,0.8545,0.9222,0.945031411
Lat,0.2101,0.9557,0.9338,0.094449198
Zfp646,0.9986,0.9006,0.6983,0.807874366
Nkx1-2,0.9677,0.9741,0.8696,0.926654371
Snrnp27,0.531,0.9224,0.8751,0.910828126
Bicd1,0.7168,0.6009,0.7841,0.662346257
Pou3f1,0.1206,0.0087,0.0572,0.003482855
Oat,0.6883,0.0047,0.1816,7.34580625961663E-4
Rpl23a,0.8799,0.0421,0.7034,0.418245181
Eps8l2,0.1593,0.6874,0.764,0.174168994
Fkbp6,0.1197,0.6339,0.7903,0.831046221
Sbk1,0.7242,0.7484,0.8572,0.856553213
Polr1b,0.8679,0.8481,0.0042,0.002808292
Tbcd,0.9674,0.0747,0.9948,0.094851693
2310030N02Rik,0.8493,0.9306,0.9503,0.878096204
Rasl11a,0.1955,7.28239327202986E-4,0.694,0.096298145
Slc26a6,0.9227,0.9159,0.983,0.876307293
Phospho2,0.9128,0.5998,0.9931,0.523136958
Ttl,0.3535,0.8537,0.1867,0.627838507
Urb2,0.9729,0.8728,0.683,0.380673032
Scrt2,0.854,0.6858,0.9601,0.614448106
Rtel1,0.0173,0.5709,0.0563,0.8743781
BC016201,0.9137,0.6889,0.9586,0.948775571
Hn1,0.8732,0.7053,0.9514,0.410697513
2810474O19Rik,0.2185,0.2345,0.6248,0.632669355
Fn3k,0.4493,0.7875,0.806,0.99809537
AC124106.1,0.7983,0.3692,0.8823,0.475345379
Fn3krp,0.847,0.8742,0.8634,0.87027546
Zzef1,0.9628,0.6212,0.7587,0.987239442
